BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.0059083,3.9374123,8.57417,0.12911642,0.13270682,0.03244456
-0.97237796,3.7410207,8.923843,0.08224478,0.0959552,0.016465591
-1.2070899,3.8847218,9.2256155,0.15574802,-0.05957341,0.0068782107
-1.1496094,4.1098537,8.626861,0.20261967,-0.21563466,0.028183501
-1.0729688,4.1721244,7.9083548,0.12964906,-0.15917563,0.11127413
-0.86220706,4.2056546,7.793394,-0.014161648,-0.041996546,0.16347209
-0.78556645,4.119434,8.205338,-0.0514459,0.054409888,0.23697533
-0.78556645,3.9709425,8.602911,0.03324262,0.022984585,0.2513564
-0.74724615,3.894302,8.904683,0.13923644,-0.12189138,0.24603008
-0.8047266,3.66438,8.746612,0.26387239,-0.5400077,0.21460478
-0.36883304,3.3290772,8.612491,0.27878606,-1.2398864,0.026052972
-0.90052736,3.5015187,8.832832,0.27505764,-2.0846412,-0.094321914
-0.5748047,3.779341,8.406519,0.32139665,-3.0236719,-0.13586724
-0.78556645,3.5829494,8.042476,0.31287453,-3.9845405,-0.20191363
-0.7568262,3.276387,7.9849954,0.25162184,-5.193083,-0.20617469
0.62749517,2.9410841,7.32876,0.18610807,-5.8961573,-0.201381
1.1735597,2.548301,6.3803325,-0.13134074,-6.0293155,-0.25784
1.2502003,2.308799,5.853428,-0.76943415,-6.6684737,-0.002176537
2.1315675,2.3662794,6.4042826,-1.1220366,-7.1244073,0.36640495
5.2882032,3.391348,4.9433208,-0.89513534,-6.9779334,0.3951671
7.2281694,2.816543,-6.6102543,-2.070122,-6.483118,1.0630879
7.443721,2.064507,3.6691701,-2.6986282,-1.9605378,0.9421804
6.821016,0.9915381,8.449629,-2.064263,-3.9579089,1.8487204
9.6615095,0.2921924,-15.538887,-1.667452,-2.3871763,1.9563122
6.5288234,-0.1341211,5.877378,-0.9372133,0.041094083,2.0335438
9.302257,-2.6441016,1.7818946,-1.0405439,1.6182182,1.8231541
8.760982,-5.0822315,2.42855,-1.9998145,1.77641,0.9874541
7.831714,-4.90979,0.81909674,-2.6735945,1.8994479,0.67746216
4.7948294,-4.263135,3.923042,-3.5551007,2.590272,0.793576
5.029541,-4.7086086,6.720425,-3.5875914,2.7372785,1.52488
7.237749,-7.798184,5.9204884,-4.060036,2.24992,1.9690953
10.317744,-10.389595,5.518125,-4.892008,1.388121,1.9296806
11.385923,-10.542876,5.1684523,-5.955674,-0.24226627,1.6718866
14.403648,-9.220825,10.528506,-6.1277146,-0.885686,1.7086382
15.352076,-7.7359133,14.197677,-4.574026,-1.8673271,1.3549703
17.469273,-5.407954,13.776153,-2.7822514,-3.5690873,0.9309951
18.063238,-4.397256,8.372989,-1.8277743,-4.715844,0.46014822
19.778072,-5.4606447,4.157754,-1.8378943,-5.028499,-0.118290365
20.83188,-4.3254056,3.4775686,-2.0924926,-5.02264,-1.4083257
17.234562,-0.038320314,4.526587,-1.6919531,-4.462844,-2.9385781
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
13.594131,2.208208,4.0906935,-0.6346782,-4.596002,-3.2767994
9.244776,-0.14849122,-2.792593,-1.0725018,1.3055631,-0.6333457
5.8821683,0.05269043,-3.0895753,-0.7278888,1.2240703,-0.412836
9.74294,-1.9830762,-7.788604,-0.77156466,0.88584876,-0.24772
7.711963,-3.3817677,-8.018526,-1.7478795,0.041094083,0.54164094
6.09772,-4.9337406,-5.0487013,-2.52499,-0.35305378,1.4609642
10.585987,-5.977969,-2.208208,-2.5138047,0.191829,1.9983901
12.607384,-4.368516,-2.0213966,-2.2794466,0.12471734,1.8923963
14.9161825,-1.4226416,-2.7973828,-1.5486751,0.89703405,1.2042354
14.60483,-3.9709425,-6.5000834,-1.2828915,0.62059796,-0.29459164
10.93087,-3.5973196,-8.976534,-1.512456,0.4080777,-1.3188434
-0.23471193,-3.3626075,2.5099807,-1.2003336,0.053344622,-1.1388137
1.0490186,-3.784131,-0.76161623,0.058808967,-0.14745773,0.63698214
4.3397756,-4.1960745,-4.416416,-0.49832433,-0.6294899,1.345383
7.8700347,-4.382886,-4.4212065,-0.5057812,-0.21936308,1.2282039
9.436378,-3.9948928,-5.1876125,-0.58461076,0.2099385,1.1248733
9.057964,-5.0822315,-4.0811133,-0.75345516,-0.23640731,1.4417894
9.134604,-4.6128078,-2.7590625,-0.34013256,-0.63747936,1.860971
7.917935,-4.4403663,-3.5110989,0.2196639,-0.83135754,2.347797
5.8342676,-5.4319043,-4.4547367,0.5600159,-0.9389492,3.1707137
2.42376,-7.7167535,-4.4595265,1.0729408,-0.50911504,4.250892
7.33355,-7.534732,-3.894302,1.2311325,-0.33707482,4.2386413
7.2281694,-7.31439,-1.6860938,0.9419132,-0.33281377,3.5115983
5.3217335,-6.6821046,-3.7410207,1.039385,-0.106445044,4.304688
7.702383,-8.713081,-3.420088,1.265221,0.8352487,4.439444
7.6305327,-9.398057,-5.6905665,1.5890614,1.2459083,3.9883041
4.4451566,-8.358619,-7.27128,0.61434436,2.665373,3.6245162
2.931504,-5.1636624,-4.0667434,-0.06529434,4.0752506,4.03198
4.1002736,-3.5973196,5.1540823,-0.025879556,2.9886808,4.507621
9.263936,-8.095166,-5.863008,1.0979745,1.2698767,4.511349
14.65273,-14.221626,-2.9219239,1.0889198,1.7428541,1.9829438
3.7362306,-9.599238,-3.7506008,0.3235272,-0.08247659,-0.8277565
0.48379397,-7.558682,-0.64186525,-0.47861695,0.16732793,-0.66157526
2.6201515,-7.209009,-0.52690434,-0.2565093,0.40914294,-0.21416417
4.91937,-8.847202,-1.8489552,0.25375235,-0.462776,-0.51297086
4.89542,-9.374106,-0.75203615,0.45242417,-0.94374293,-0.9055208
2.3135889,-9.7142,-1.336421,0.72246873,-0.8707723,-0.49166557
2.4764502,-12.564273,-2.668052,0.65535706,-0.6976668,0.3307186
2.323169,-12.3487215,-2.4908204,0.22978391,0.061866738,0.12831835
1.5567628,-10.605147,-1.4034815,0.0907669,0.25308168,-0.19711994
0.8813672,-9.982442,-1.9255958,0.13763854,0.3574776,-0.27381897
0.5508545,-8.48316,-1.5615528,0.15095434,0.082639396,0.23164901
2.787803,-6.5000834,-0.847837,0.5088832,-1.0795641,0.9437783
3.5206788,-6.1791506,-0.5604346,0.7682751,-1.4603962,0.8990372
2.0070264,-6.4282327,-1.710044,0.8614857,-1.5280404,0.76587915
1.4082716,-6.2941117,-2.816543,0.55149376,-0.5469319,0.7291275
0.97237796,-6.06419,-2.2177882,0.39223674,0.9295246,0.7845213
1.2549903,-6.1312504,0.1101709,0.4827842,1.0546932,0.7637486
0.0047900393,-6.615044,-1.1064991,0.5813212,0.2562775,0.9198098
0.05748047,-6.744375,-3.4584084,0.85775733,1.0797269,1.0561637
-0.14849122,-7.5012016,-2.1363575,0.8891826,1.9628313,1.117949
1.0873389,-7.0221977,-1.1448194,0.4364452,2.5402045,0.6625485
0.6658155,-6.2941117,-1.1831397,0.09396269,3.7743132,0.2976954
-0.41194338,-5.5612354,-2.0022364,-0.30178306,5.0100203,0.12032887
-0.50774413,-5.1540823,-4.6750784,-0.23041034,5.9005814,1.2979788
0.75203615,-8.904683,-2.5147705,-0.8099142,5.94479,1.5350001
-9.79084,-35.54209,1.1591895,-0.8578511,4.418266,2.8442101
4.4691067,-37.989803,4.5936475,-2.3247204,0.79157287,7.0972786
10.657837,-17.277672,3.6931202,-1.121504,-0.2113736,5.0173497
3.7937112,-10.691368,1.1400293,0.42046624,-1.0071261,-0.23440419
-13.004956,-3.7314405,-4.071533,0.7261971,-1.4785056,-0.71324056
-2.8979738,-8.57896,-3.4248781,0.6473676,0.7803876,0.5709357
-0.977168,-10.490186,-0.60833496,0.39969358,0.9614826,0.34137124
-0.20118165,-11.00751,0.5221143,0.19249965,0.31539968,0.17838578
-0.7951465,-10.293795,-0.047900394,-0.053043798,-0.41270858,-5.786403E-4
-1.6765138,-9.77647,-0.57959473,-0.059968017,-0.46117812,-0.008035491
-2.0549269,-9.570498,-0.71371585,0.013535228,-0.37435907,0.036705617
-2.203418,-9.75252,-0.7664063,0.09502795,-0.23374414,0.10648044
-1.8920655,-9.924961,-0.5508545,0.101419546,-0.15331668,0.11233939
-1.7004639,-9.924961,-0.3784131,0.114202715,-0.107510306,0.1240573
-1.4130616,-9.800421,-0.009580079,0.12272483,-0.13787034,0.11979625
-1.4226416,-9.81958,0.12454102,0.10994166,-0.19805779,0.1091436
-1.8010547,-10.015972,0.2203418,0.10355007,-0.27955052,0.108610965
-2.0261867,-10.054293,0.30177248,0.13817117,-0.25611472,0.13524257
-2.0501368,-9.953702,0.44547364,0.2329797,-0.17462197,0.16986367
-2.059717,-9.8866415,0.7376661,0.31820086,-0.07235658,0.21620268
-1.7004639,-9.85311,1.1687696,0.40768307,0.11726049,0.25668272
-1.4801221,-9.958491,1.6046631,0.44230416,0.24029854,0.26786798
-1.3268409,-9.829161,1.8010547,0.512079,0.36440182,0.26680273
-1.2310401,-9.7621,2.0501368,0.65482444,0.4911683,0.27372694
-1.4178516,-9.992022,2.1746778,0.8817257,0.59982526,0.22099636
-1.4705421,-10.140513,2.2704787,1.0148839,0.6578822,0.16453734
-1.3891114,-10.370435,2.1028273,1.1064966,0.6749264,0.11020886
-1.4897022,-10.6817875,1.9399658,1.1709452,0.7564191,0.031911924
-1.590293,-10.873389,2.0357666,1.2806673,0.90182775,-0.057570286
-1.7914747,-10.389595,1.6238233,1.5736151,1.1074239,-0.16942306
-2.2752686,-10.528506,1.2741505,1.7216868,0.9226004,-0.1816736
-2.5818312,-10.312955,-1.0825489,1.6652278,0.63764215,-0.18380414
-3.319497,-9.4507475,-1.8345851,1.3893243,0.624859,-0.25304633
-3.6212697,-8.6077,-0.6227051,1.0649513,0.5923684,-0.2493179
-2.8357031,-8.823253,0.87178713,0.9307279,0.5114083,-0.25304633
-2.42855,-9.072334,1.6669337,0.8300604,0.47998303,-0.24026315
-1.6190332,-8.890313,2.6105714,0.6313886,0.35694498,-0.32282114
-1.346001,-8.674761,2.9746144,0.60742015,0.42139348,-0.36117068
-1.3172607,-8.713081,3.2859669,0.68465185,0.5199304,-0.36862752
-1.590293,-8.828042,3.1183155,0.7261971,0.55029047,-0.3814107
-1.9064356,-8.928633,3.032095,0.6697381,0.5737263,-0.39099807
-2.543511,-8.660391,3.0895753,0.47319683,0.56573683,-0.376617
-2.6105714,-8.310719,3.8176613,0.40022624,0.48371145,-0.32335377
-2.4620802,-8.162227,3.7937112,0.34589773,0.35587972,-0.2658295
-2.4189699,-8.459209,3.8703518,0.27931872,0.3425639,-0.25038317
-2.2465284,-8.847202,4.4595265,0.36826828,0.5428336,-0.24665473
-1.8824854,-8.765772,4.239185,0.3964978,0.66693693,-0.2328063
-1.5088624,-8.765772,4.148174,0.383182,0.7042212,-0.24399157
-1.4897022,-8.737032,4.181704,0.38424724,0.75801706,-0.2541116
-1.9016455,-8.262817,4.3541455,0.42525995,0.8240634,-0.2541116
-2.6105714,-8.1143265,4.2200246,0.48598,0.89703405,-0.20191363
-2.9746144,-7.903565,3.9422023,0.5765275,0.9982342,-0.14545462
-3.027305,-7.7454934,3.755391,0.5930391,1.0722702,-0.080473475
-2.692002,-7.893985,4.267925,0.6202033,0.9226004,-0.014427078
-2.8644435,-8.176597,4.3541455,0.59197384,0.72126544,-0.0011112725
-3.2380664,-8.253238,4.248765,0.48012105,0.6216632,-0.016024973
-3.0608351,-8.018526,4.5888577,0.37785566,0.6429685,-0.025612354
-2.6393116,-7.6592727,4.8427296,0.31287453,0.66214323,-0.065559775
-2.3327491,-7.5395217,4.9337406,0.23830603,0.5257894,-0.15610726
-2.668052,-7.4820414,4.3158255,0.1434975,0.40275136,-0.22907788
-3.0081446,-7.0078273,4.2056546,-0.028542718,0.31220388,-0.2892653
-3.300337,-6.567144,4.5601172,-0.25863984,0.13110892,-0.34572434
-3.4584084,-6.480923,4.157754,-0.46104008,-0.039866015,-0.4639687
-5.1876125,-7.726333,5.254673,-0.58940446,-0.07608501,-0.51030767
-7.6161623,-11.817027,6.8928666,-0.51696646,-0.22788519,-0.24825263
-7.0269876,-17.282461,9.901011,-0.13613443,0.018190894,0.13524257
-1.7339942,-14.231207,4.905,0.26706818,0.36706498,0.11393729
1.1160791,-3.5110989,-3.9469924,-0.96331227,-0.8441407,-0.6312152
-0.3065625,-5.0630717,-3.5733693,-1.7931533,-2.5379112,-0.91617346
-3.7649708,-8.49753,1.3843213,-1.5838288,-2.3850458,-0.56889725
-2.9027638,-13.627662,0.5604346,-1.0810239,-1.1024673,0.04948879
3.515889,-14.116245,-2.2177882,-1.8725154,-1.9243188,-0.4575771
0.4742139,-9.924961,0.93405765,-1.961465,-1.8257818,-0.7254911
-1.0873389,-8.47837,1.4944923,-1.6759741,-1.7608007,-0.5140361
-1.5423926,-8.305928,1.5184424,-1.6669194,-1.7687901,-0.17954308
-0.79993653,-7.8987746,-0.6706055,-2.1345706,-1.7725186,0.116600454
0.79035646,-9.273516,-0.023950197,-2.3257856,-0.76850694,0.23750795
1.5328126,-10.552457,1.2933106,-1.8714502,-0.47822234,0.27479222
2.4908204,-11.869718,0.9053174,-1.4011359,0.0117993085,0.11446992
2.5291407,-11.472144,0.9196875,-1.312719,0.098618366,-0.14279145
0.44547364,-9.038804,2.0070264,-1.4245718,-0.9448082,-0.6178994
-1.8729054,-8.210127,2.1124072,-1.3558621,-1.6244469,-0.6328131
-3.180586,-8.076006,0.6514453,-1.3159148,-1.8769145,-0.40111807
-3.2236965,-8.200547,-0.7951465,-1.3377527,-1.8694577,-0.09059349
-0.977168,-9.148975,-2.4716604,-1.2621189,-1.3426844,0.35149124
0.12933107,-10.99314,-2.4620802,-1.2104536,-0.8308249,0.48997563
0.92926764,-11.5823145,-1.4944923,-1.2594557,-0.58847725,0.47506192
2.2944288,-10.528506,0.96758795,-1.5406855,-0.91657865,0.18051632
1.2597803,-9.129815,2.9410841,-1.0986009,-1.5626615,-0.065559775
-0.33530274,-10.375225,-0.47900394,-0.4711601,-0.46330866,0.11819835
-0.023950197,-11.304493,-0.6179151,-0.297522,0.017658262,0.22951847
0.38320315,-13.076807,0.86220706,-0.15957025,-0.1831441,0.27159643
-0.6658155,-12.554693,3.894302,-0.067957506,-1.050802,-0.1534441
-0.89573735,-13.594131,4.4116263,0.5307211,-1.0076587,0.073989876
2.9171338,-14.844332,2.193838,1.5741477,-0.6987321,0.12192677
2.2561085,-12.262501,1.6573536,2.3384748,-0.29446423,-0.19072835
-0.16765137,-10.772799,2.1650977,2.6213026,0.17744793,-0.30258113
-1.6908839,-10.638678,1.0298585,2.7997344,0.5039515,-0.085267164
-1.8537452,-12.899576,-1.4705421,2.953665,0.47252616,0.14269942
-2.7973828,-15.663428,-4.1146436,2.852465,0.7878445,0.29343435
-2.7015822,-15.7113285,-4.2008643,2.8157134,1.4584285,0.29876065
-0.05269043,-15.160474,-0.68976563,2.8897493,2.9210365,0.16134155
1.9016455,-14.513819,1.5280225,2.9611218,2.5892067,-0.08313663
1.9639161,-13.105548,0.081430666,2.544071,1.718353,-0.515634
-1.6765138,-8.291558,-1.2166699,2.1360745,2.5274212,-0.59819204
-1.456172,-7.33355,-1.3268409,2.1621735,2.6403394,-0.5135035
-0.60833496,-5.949229,-0.9436377,1.9927967,2.48268,-0.48793712
