BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.5843848,7.6209526,6.1312504,-0.028542718,0.14389211,0.11020886
-0.5125342,7.3862405,6.471343,-0.0035090032,0.14122894,0.09849095
-0.4742139,7.32397,6.1695704,0.006078377,0.06985623,0.055347744
-0.47900394,7.434141,5.8677983,-0.057304855,-4.5123254E-4,0.04948879
-0.36883304,7.3383403,5.9300685,-0.13187337,-0.012169141,0.05641301
-0.23950197,7.2329593,5.9540186,-0.14359128,-0.020158626,0.03936878
-0.2682422,7.32876,5.968389,-0.16809237,-0.015364935,-0.0075028595
-0.45026368,7.472461,6.1504107,-0.16915762,-0.0025817615,-0.022949193
-0.5843848,7.544312,6.1456203,-0.15584183,0.032039333,-5.786403E-4
-0.64186525,7.4820414,6.2797413,-0.13240601,0.051214095,-0.0037744336
-0.5939649,7.3718705,6.3803325,-0.08020805,0.010734045,0.014867694
-0.7041358,7.2664895,6.3132715,-0.07594699,-0.07501975,0.015932959
-0.96758795,6.8593364,6.935977,-0.08713227,-0.50006026,0.01859612
-0.5748047,6.423443,7.2808595,-0.14518918,-1.2803664,-0.04105869
-1.0777588,6.466553,6.830596,-0.33587152,-2.1112728,-0.07195136
-1.1543995,6.351592,6.7635355,-0.5521202,-2.8692086,-0.012829182
-0.7232959,6.2605815,6.605464,-0.756651,-3.6772115,0.06866355
-0.45984375,5.6714063,6.495293,-0.9670407,-4.354187,0.08517515
0.1580713,5.3169436,6.3084817,-1.1848872,-4.9661813,0.06600039
0.87178713,5.7719975,5.8965383,-1.4570622,-5.3512745,0.14482996
2.2465284,5.977969,5.8103175,-1.69941,-5.4380937,0.31207648
3.180586,5.5612354,5.8342676,-1.6866268,-5.257531,0.41647238
4.3014555,5.216353,5.719307,-1.508195,-4.851133,0.39783025
4.8187795,5.5708156,4.9624805,-1.2440094,-4.0724244,0.3935692
5.2594633,6.0737696,4.296665,-1.073567,-3.2457795,0.4580177
6.12646,5.5468655,4.152964,-0.95798594,-2.215136,0.5528262
6.217471,4.5074267,4.5744877,-0.9910092,-1.7522786,0.63858
6.816226,3.8464015,4.8571,-1.2072577,-1.8481524,0.64870006
7.2185893,4.014053,5.015171,-1.3878201,-2.0244539,0.62846
7.9945755,4.272715,5.0726514,-1.2658473,-1.8396302,0.5975673
8.080796,4.018843,3.9326222,-1.1049924,-1.3480108,0.4729314
7.9610453,3.2236965,3.6691701,-1.1982031,-0.901665,0.3088807
7.913145,2.9506643,4.181704,-1.4187127,-0.7397448,0.1703963
8.487949,2.7686427,5.1732426,-1.5097929,-0.8052586,0.058010906
8.392149,2.203418,5.6282964,-1.5012708,-1.18396,-0.032536574
7.8556643,1.4801221,4.7229786,-1.6296351,-1.9578747,-0.14705251
6.5240335,1.2645704,2.7734327,-1.9135281,-2.3482943,-0.17794518
5.3408937,0.9053174,0.9915381,-2.3220572,-1.9951589,0.20768055
6.318062,0.5460645,1.0106983,-2.7268577,-1.8279123,0.61620945
7.29523,0.7424561,0.4023633,-3.0773296,-1.3400213,0.7238012
7.951465,0.8047266,2.5818312,-2.9894454,-0.6955363,0.6977022
5.254673,0.32093263,1.3268409,-2.8168726,-0.77756166,1.1184816
5.149292,0.92926764,1.0394385,-3.457629,-1.7027438,2.0164995
5.388794,1.2837305,0.6179151,-4.01423,-2.2177992,2.6780288
6.8928666,2.088457,2.4764502,-3.8512442,-2.3562837,3.3267748
12.310401,-0.977168,2.7734327,-2.4834447,-1.0721072,3.899887
13.962964,-2.8740237,1.4609619,-1.8634607,-0.23747258,3.5462193
15.88377,-3.7122805,2.203418,-2.1292443,-0.5661067,2.7552605
17.857265,-3.8895118,2.4716604,-2.0450883,-0.4595802,1.8194257
17.04296,-4.397256,1.0298585,-2.1430926,-0.23640731,1.0929153
17.04296,-4.397256,1.0298585,-2.1430926,-0.23640731,1.0929153
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
16.377144,-4.3158255,3.8703518,-2.8658748,-0.627892,0.17465736
9.541759,-5.4271145,1.1735597,-1.4533339,0.8480319,0.10807834
10.106983,-5.264253,4.4116263,-1.1337545,-0.051583923,-0.64559627
9.216036,-3.899092,6.2989016,-0.6064487,-2.1837108,-1.1478685
9.814791,-2.3519094,-1.6190332,-1.172104,-2.428189,-1.0978011
7.9945755,-0.79993653,-0.488584,-1.0442723,-1.9999526,-0.29139584
7.6305327,-2.1315675,-1.2358302,-0.59792656,-1.3682507,0.79623914
5.484595,-4.3493557,-1.4849122,-0.40245053,-1.2393538,1.3571008
6.701265,-4.5888577,-3.0225148,-0.6298845,-0.41483912,1.597318
9.182506,-3.9422023,-1.9064356,-0.6778214,0.11459733,1.2074312
9.867481,-5.494175,-2.44292,-0.462638,-0.3418685,0.61940527
9.307046,-5.7911572,-2.5866213,-0.6346782,-0.5123108,0.5522936
8.200547,-4.6128078,-1.7148341,-0.6916698,-1.147741,0.7376496
7.9466753,-3.9805226,-1.2597803,-0.62296027,-0.3269548,0.7285949
4.018843,-4.4259963,-3.0752053,-0.6442656,-0.84307545,1.1142206
7.29523,-4.3541455,-2.6009912,-0.36250314,-0.9970061,1.5264779
5.3792143,-4.5313773,-2.7399025,-0.07008804,-0.44413388,1.7187582
10.049502,-7.932305,-3.3147073,0.22179443,0.034702495,1.186126
9.987232,-9.244776,-3.6308498,0.46201158,-0.012169141,0.4777251
8.377779,-7.9802055,-2.299219,0.60528964,0.065595165,0.56773996
7.798184,-7.213799,-2.1603076,0.89663947,0.7984971,1.2068986
5.585186,-6.974297,-2.083667,0.91155314,1.013148,2.2364767
4.679868,-7.32876,-3.0033545,0.46360946,0.85016245,3.3267748
5.6187162,-6.878496,-2.7303224,-0.1473197,0.7921055,3.3267748
4.4212065,-6.361172,-2.43813,-0.20803978,1.430199,2.9720418
6.7539554,-5.0343313,-3.1278956,-0.4514527,0.9481667,2.9518018
6.806646,-3.4919386,-0.68018556,-0.07861015,0.3340418,2.7786963
5.4414845,-3.051255,0.07185059,0.51474214,-0.031876534,2.9273007
9.388477,-9.503438,-2.3806496,1.0564291,-0.41004542,2.2971969
7.462881,-12.434942,-3.300337,0.56054854,-0.1618388,1.4050378
5.8438478,-13.172608,-2.5291407,-0.067957506,0.18916585,1.0508374
5.254673,-12.14275,-0.9627979,-0.47382325,0.062399372,0.3951671
4.1864944,-10.99314,-0.4742139,-0.22455138,-0.03773549,0.11500255
3.899092,-12.449312,-0.6466553,0.32619035,0.010201412,0.2976954
3.3673975,-11.812237,-2.0166066,0.6905108,0.031506702,0.28384697
2.6393116,-11.328443,-2.5004005,0.7086203,0.20514481,0.033509824
0.37362307,-11.817027,-1.1448194,0.37519252,-0.07821554,-0.42189074
-0.6322852,-12.027788,-1.3699512,0.027383665,0.1502837,0.4777251
0.45505372,-10.116563,-3.1566358,-0.55797917,0.49649462,1.4982485
3.9948928,-7.30481,-3.5542092,-0.86637324,0.5380399,1.6883981
7.094048,-2.955454,-0.9580079,-0.37209052,1.0877165,0.25721535
5.364844,-4.023633,-1.1735597,-0.25118297,0.6925033,0.011139269
7.1371584,-6.5623536,-0.05748047,-0.31776202,0.3675976,0.32485965
6.3132715,-8.028106,0.20597169,-0.047184844,0.1140647,0.4548219
7.448511,-8.301138,0.39278322,0.13497537,-0.7583869,0.34936073
6.365962,-8.205338,-0.5412744,0.12858379,-1.6974175,0.19170159
2.2896388,-9.79563,-0.100590825,0.79916775,-1.8524134,0.0063455785
0.15328126,-11.342813,-2.7063723,0.95043534,-1.4651898,-0.14012828
-1.5232325,-11.175161,-0.5939649,0.5392432,-0.8239007,0.019128753
1.0346485,-8.986114,0.48379397,0.86681205,-0.4505255,0.32059857
2.2513185,-7.089258,0.87178713,1.4154233,-0.8776965,0.22046372
2.198628,-6.0450296,-0.014370117,1.5437877,-1.6319036,0.06759828
2.0309765,-5.863008,-1.6908839,1.369617,-1.5674552,-0.014959711
2.059717,-5.733677,-4.1242237,0.5861149,-0.2859421,0.0058129462
0.9915381,-6.600674,-3.8895118,-0.13986285,-0.03826812,0.29023856
0.09580079,-6.998247,-3.3290772,-0.7790215,0.89969724,0.81967497
-0.9484278,-7.30481,-1.1496094,-0.7475962,1.8919911,1.4561704
0.047900394,-7.8844047,-0.9244776,-0.16010287,3.9852357,2.3584495
-0.2778223,-7.6161623,-1.3747413,-0.008835326,4.9450393,2.547534
-0.45505372,-8.133487,-2.4141798,-0.41257057,4.3708615,3.1291683
-0.8813672,-7.391031,-2.299219,-1.024565,3.9388967,3.1350272
-2.7351124,-10.499766,-0.85741705,-1.2397484,5.3599596,4.239174
-9.896221,-18.599722,-1.590293,-1.8794397,4.4805837,6.2136416
-4.7133985,-21.334835,2.3519094,-2.4003541,0.2413638,9.404641
16.343615,-25.832682,-4.3254056,-0.5718276,-0.33760744,6.359583
-7.577842,-20.75045,-7.9227247,3.1390212,-1.5035393,-1.9020756
-8.339458,-6.217471,-1.7962648,1.2380568,0.42778507,-0.2099031
-3.4248781,-4.991221,-0.364043,0.018328918,0.78251815,0.17146157
-3.420088,-7.5395217,-0.17244141,-0.4956612,0.07038885,0.18637526
-2.931504,-10.106983,-0.79035646,-0.5020528,-0.20018832,0.18264684
-3.0081446,-9.685459,-1.5376027,0.06253739,-0.0041796584,0.08570778
-3.4584084,-8.885523,-1.6477735,0.25428498,0.1588058,0.12778571
-3.903882,-8.976534,-0.9244776,0.18024911,0.29036596,0.16666788
-3.63564,-9.311836,-0.5221143,0.09609322,0.30527964,0.17465736
-3.6021094,-9.651929,-0.60833496,0.07798372,0.27332172,0.15761313
-4.061953,-9.623189,-0.3065625,0.116333246,0.27438697,0.1672005
-4.191284,-9.580078,0.11496094,0.17385752,0.29835543,0.20821318
-3.9182522,-9.570498,0.35925296,0.22765338,0.34309655,0.24123639
-3.046465,-9.915381,1.1160791,0.3847799,0.40541452,0.2763901
-2.4716604,-10.063872,1.4992822,0.53285164,0.30261648,0.25561744
-2.4860303,-10.130933,1.5663428,0.7080876,0.23071116,0.21939847
-2.663262,-9.85311,1.4705421,0.91474897,0.2397659,0.16933103
-3.0608351,-9.412427,2.059717,1.337659,0.32392177,0.043629836
-3.2859669,-9.417217,2.203418,1.5192866,0.32445443,-0.016557606
-4.167334,-11.04104,2.9410841,2.0380702,0.39849028,-0.3499854
-5.149292,-12.003839,2.9698243,2.283081,0.3457597,-0.52362347
-5.206773,-11.4625635,3.4823585,3.1539347,0.16999108,-0.47675186
-3.6404297,-11.05541,-3.9326222,2.9025323,-0.17408934,-0.44479394
-5.4223247,-9.029224,-4.148174,2.1701632,0.22431956,-0.47195816
-6.734795,-8.200547,-2.2752686,2.037005,0.727657,-0.25517684
-5.4750147,-8.57417,1.9112257,2.6484668,1.0674764,0.060141433
-2.806963,-9.704619,1.9639161,2.710252,0.6946338,-0.04105869
-1.8250049,-9.263936,1.8585353,1.9437945,0.71487385,-0.34093064
-2.1267774,-8.190968,2.8644435,1.4452507,0.80488867,-0.49858978
-2.5099807,-7.3958206,2.926714,1.4314023,1.1047606,-0.56410354
-3.1231055,-7.070098,2.5530908,1.3978465,1.0440406,-0.5854088
-3.8559816,-7.34313,2.7255323,1.2614926,0.94177514,-0.56623405
-4.181704,-7.1132083,3.0799952,1.0873219,0.84749925,-0.5838109
-4.387676,-6.1504107,4.4355764,0.6606834,0.5721284,-0.5449288
-4.191284,-6.0593996,5.269043,0.52432954,0.4000882,-0.44000024
-4.047583,-6.1935205,5.3552637,0.5621464,0.38517448,-0.29618955
-4.3062453,-6.2270513,5.2594633,0.6633465,0.4629388,-0.21309891
-4.517007,-6.2510014,5.2738333,0.7890478,0.5875747,-0.082604006
-4.1721244,-6.7683253,5.4031644,0.971208,0.80755186,0.071859345
-3.515889,-6.8880763,5.1540823,1.0361892,0.8107476,0.11127413
-3.5254688,-6.375542,5.1684523,1.0372545,0.7202002,0.09902359
-3.7458107,-5.8342676,5.144502,1.0127534,0.5721284,0.095827796
-4.622388,-5.6426663,5.360054,0.9216732,0.37132606,0.059608802
-4.9481106,-5.9635987,5.2355127,0.7219361,0.38837028,0.110741496
-4.718189,-6.12646,5.4271145,0.38850832,0.33777022,0.14802575
-4.2296047,-5.7863674,5.398374,-0.20857242,0.1486858,0.07718567
-3.903882,-5.585186,5.5564456,-0.61390555,8.139969E-5,-0.02721025
-4.7469287,-6.1743608,7.927515,-0.7502594,-0.04093128,-0.19072835
-7.084468,-9.043594,11.452984,-0.23946509,0.050681464,-0.16729254
-9.699829,-12.18586,13.665982,0.48651263,0.37665236,0.05747827
-2.5243506,-8.923843,-3.2668068,-0.20484398,0.5833137,-0.28500426
-2.2513185,-1.7627344,-1.5471827,-1.6647888,-0.3583801,-0.9832851
-3.8080812,-5.6426663,1.5184424,-2.4355078,-1.4934193,-1.0237652
-5.8198977,-9.685459,4.4499464,-2.0376315,-1.4002087,-0.6828805
-2.8883936,-11.620635,-1.839375,-2.599026,-1.9892999,-0.3185601
-2.43813,-10.873389,-0.98195803,-2.989978,-1.9908978,-0.54386353
-3.032095,-9.881851,1.8585353,-2.5079458,-1.028964,-0.44479394
-3.2620168,-8.899893,0.81909674,-2.0781116,-0.7157763,-0.30098322
-3.8751419,-7.8269243,0.68976563,-2.4376383,-1.0161809,-0.01016602
-3.1087356,-7.3814507,1.4513819,-2.8472326,-1.6457522,0.20874582
-1.9687061,-7.8029737,0.53169435,-3.0821233,-1.9882346,0.30621752
-0.852627,-9.287886,-0.17244141,-3.105559,-1.4694508,0.26200905
-0.09101075,-10.174044,0.0047900393,-2.7731967,-0.62629414,0.11127413
0.119750984,-11.0123005,0.68976563,-1.7042036,0.15614264,0.015400327
-0.60354495,-10.552457,0.9915381,-1.1348197,0.41127348,-0.009633388
-1.3651612,-9.699829,0.12933107,-1.1731694,0.40754503,-0.16249885
-2.3423293,-8.885523,0.16765137,-1.4927486,-0.027082844,-0.29991797
-3.4919386,-7.9083548,0.7185059,-1.683431,-0.5618456,-0.304179
-4.679868,-7.5251517,0.9867481,-1.5880898,-1.3916866,0.046292998
-4.679868,-7.5251517,0.9867481,-1.5880898,-1.3916866,0.046292998
-2.1459377,-10.126143,-4.1146436,-1.8613302,-1.6622638,0.3158049
-1.9351759,-10.269844,-3.2859669,-1.4469423,-0.48621184,0.34776282
-1.4944923,-9.398057,-1.0394385,-1.0426744,0.57745475,0.406885
-0.4406836,-10.083033,1.6573536,-0.97929126,0.7058191,0.34350178
-0.71371585,-11.524835,3.415298,-0.9404091,0.020854056,0.16027628
-3.319497,-12.367882,0.852627,-0.8040553,-0.911785,-0.025079722
-4.2104445,-12.593013,0.3065625,-0.60698134,-1.0012672,-0.03892816
-4.5313773,-13.39295,1.0777588,-0.38647157,-0.8409449,0.007943475
-3.3673975,-14.64794,1.719624,0.06946161,-0.66677415,0.08730568
0.2682422,-15.342496,0.8813672,1.111823,-0.3418685,-0.1305409
-0.79035646,-12.23376,3.2811768,1.7334048,-0.36264116,-0.37874752
-2.069297,-11.405084,3.7122805,2.2995927,-0.5964667,-0.51669925
-2.806963,-11.572735,2.7255323,2.8119848,-0.5746288,-0.45331603
-5.144502,-12.751084,-1.5663428,3.593889,-0.5730309,-0.22321892
-6.5288234,-13.100758,-3.8320315,3.4426215,-0.3450643,-0.12734511
-7.3096,-12.21939,-3.1278956,3.1006715,0.07518254,-0.100180864
