BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.078877,-2.5962012,9.800421,0.125388,-0.11603242,0.13790573
2.0022364,-2.3423293,9.019644,0.21593547,-0.08886818,0.15494996
2.059717,-2.3758595,8.756192,0.076385826,-0.05531235,0.21620268
2.2656887,-2.5147705,8.847202,-0.0844691,-0.122424014,0.21247424
2.3902297,-2.44771,9.096285,-0.08659963,-0.106445044,0.1901037
2.44292,-2.3614893,9.259146,0.030046826,0.018190894,0.19489738
2.7015822,-2.7590625,9.196876,0.04709106,0.03097407,0.17252682
2.8500733,-3.032095,9.153765,-0.042923786,-0.16130616,0.067065656
2.7830129,-2.8452833,9.158555,-0.12175336,-0.38128328,-0.10817035
2.806963,-2.567461,9.244776,-0.10897019,-0.47928762,-0.19498941
2.8979738,-2.1411476,7.999366,-0.25384614,-0.46011287,-0.14119355
2.1746778,-3.396138,6.7635355,-1.3611885,0.93804675,-0.115094565
3.1326857,-3.8847218,10.6817875,-1.0575881,0.5753242,-0.16090095
2.8261232,-3.8895118,14.978453,-0.5228254,-0.6561215,-0.47781712
3.3338673,-3.6500099,12.25771,0.041232105,-2.5075512,-0.7931354
3.0177248,-2.2608986,9.651929,0.024720505,-3.0034318,-0.85279024
2.9027638,-1.6860938,9.158555,-0.08819753,-3.466822,-0.62748677
3.5542092,-1.0202783,8.928633,0.015665757,-3.4774745,-0.3356043
4.4355764,-1.4609619,9.019644,0.2825145,-3.1680152,-0.20670731
5.824688,-2.9171338,8.938213,0.4098136,-3.459365,-0.15397672
7.079678,-3.4296682,7.7550735,-0.010433223,-4.5342164,0.03990141
8.62207,-2.8692336,6.09293,-0.35078523,-4.8644485,0.07505514
9.335787,-2.672842,4.416416,-0.22242086,-4.33661,-0.10657246
10.217154,-3.2428565,3.046465,-0.31296834,-3.614361,-0.34412643
10.279425,-3.3626075,2.179468,-0.60272026,-3.2042341,-0.6008552
9.541759,-2.5818312,1.331631,-1.006988,-2.7813241,-0.7521227
9.996812,-2.8213332,0.45984375,-1.199801,-1.8465545,-0.88634604
10.030342,-2.7782228,0.014370117,-1.3398832,-1.2878233,-1.0125799
9.283096,-1.346001,-0.05748047,-1.7111279,-0.16769776,-1.1782285
8.296348,-0.74724615,1.6190332,-1.8607975,0.46719986,-0.984883
8.138277,-0.76161623,2.6393116,-1.8245785,0.72179806,-0.7318827
7.414981,-0.7232959,3.396138,-1.7936859,0.7787897,-0.4906003
7.3766603,-0.79035646,3.530259,-1.7883595,0.7143412,-0.41070548
7.3766603,-0.79035646,3.530259,-1.7883595,0.7143412,-0.41070548
11.850557,-5.1061816,8.411309,-0.5467939,-2.1016855,-0.6850111
11.376344,-5.0630717,6.7395854,-0.5718276,-2.4638753,-0.8250933
11.376344,-5.0630717,6.7395854,-0.5718276,-2.4638753,-0.8250933
11.376344,-5.0630717,6.7395854,-0.5718276,-2.4638753,-0.8250933
11.376344,-5.0630717,6.7395854,-0.5718276,-2.4638753,-0.8250933
11.376344,-5.0630717,6.7395854,-0.5718276,-2.4638753,-0.8250933
7.783814,-3.032095,-1.5088624,-0.39126527,-2.168797,0.32219648
8.56459,-3.1231055,-2.193838,-0.5063138,-1.2265706,0.37332916
9.321417,-1.4753321,0.82388675,-0.20750715,0.072519384,0.31687015
8.372989,-1.1448194,1.0154883,0.3650725,0.73032016,1.1664186
12.798985,-1.9591261,-1.3603711,-0.046119582,0.36333656,1.6612339
20.094215,-7.213799,1.6381935,-0.1190902,-0.17142618,-0.16249885
11.563155,-2.5818312,0.1101709,-0.022683764,-1.7464197,-0.7057837
10.193204,-2.8548634,-0.19160157,-0.04185852,-2.156014,-0.88847655
10.188414,-2.8883936,0.4023633,0.44336945,-1.6468174,-1.5313637
11.515254,-3.9182522,-2.8788135,0.45295683,-1.8050091,-1.9750463
2.548301,1.5471827,-1.9974464,0.31979877,-1.9360367,-1.5862248
5.360054,-0.36883304,-5.5420756,0.25641552,-1.5860974,-0.2791453
9.326206,-0.8334668,-4.6128078,0.075320564,-0.8531954,-0.2328063
9.005274,0.009580079,-2.0118165,0.17705332,-0.8835555,-0.13107355
10.514136,-1.1112891,-2.4189699,0.026318401,-1.198341,-0.15291147
10.7871685,-1.6477735,-2.3662794,-0.05517433,-1.4587982,-0.3105706
9.067544,-1.0873389,-1.9351759,0.24629551,-1.528573,-0.3931286
9.79084,-1.1591895,-2.5770411,0.4987632,-0.9362861,-0.55930984
9.939331,-1.1975098,-3.0416749,0.71607715,-0.6348162,-0.56729937
9.067544,-0.20597169,-3.9565725,0.5999633,-0.5059192,-0.31483167
7.9802055,-0.46942386,-4.5649076,0.1701291,-0.5709004,-0.01016602
6.183941,-0.5221143,-4.502637,-0.21123557,-0.6529257,0.21567003
6.782696,0.82388675,-3.1853762,-0.10524176,-0.08034606,0.36906812
6.576724,-1.336421,-3.6452198,-0.05890275,0.5668021,0.4910409
6.8976564,0.17723145,-1.829795,-0.32628414,-0.21616729,0.942713
8.013736,1.8010547,-1.4178516,0.39383465,1.194243,1.1291343
7.683223,0.11496094,-2.2944288,1.491057,1.4722769,2.4798896
7.434141,-1.1352394,-3.5015187,1.1933156,1.4669507,2.880429
8.435259,-3.1566358,-6.006709,0.7576224,1.83713,2.9555302
8.119117,-5.4271145,-5.997129,0.54243904,2.9077206,2.9273007
7.175479,-5.609136,-3.6260598,0.17439015,4.247291,2.9960103
5.992339,-5.5468655,-0.34488282,-0.015759544,4.778325,3.1217115
4.277505,-4.6032276,2.663262,-0.06263118,4.787913,3.427975
4.181704,-3.8703518,3.9517825,-0.051978536,4.709083,3.8945608
12.387041,-7.6449027,11.199112,0.95043534,2.9540596,4.1475616
18.254839,-9.77647,7.812554,1.6817394,3.0536618,2.4495296
14.552139,-9.905801,2.4333398,1.5368634,2.2041135,0.6827885
11.079361,-8.090376,3.1087356,1.0266018,1.4264705,0.13684046
9.177715,-6.998247,2.059717,0.42099887,1.0541606,0.13577521
6.543194,-8.013736,2.1124072,-0.8546553,1.8238142,-0.020286031
4.91937,-7.999366,4.742139,-1.111384,2.4288843,-0.30204847
5.647456,-7.8556643,4.6846585,-0.36463365,2.782552,-0.4357392
6.806646,-7.692803,3.5781593,0.2889061,2.7463331,-0.6914027
5.326524,-9.77647,4.84752,0.779993,1.2032976,-0.5220256
7.5395217,-6.816226,2.4908204,0.6526939,-1.0247029,-0.9033903
7.055728,-5.9252787,1.590293,0.5126116,-1.8156618,-1.4163151
6.1695704,-6.5048733,1.575923,0.23031655,-2.5501618,-1.7561345
3.4440382,-5.345684,4.5409575,0.001817319,-3.4140913,-1.8328335
4.033213,-4.90979,4.358936,-0.007770061,-3.6383295,-1.3886182
6.1073003,-4.622388,2.0022364,-0.008835326,-3.4700177,-0.8890092
7.3575,-3.9805226,1.7866846,0.10195217,-2.8787959,-0.4197602
8.090376,-4.631968,3.530259,0.20847861,-2.3419025,0.3722639
8.464,-3.8416114,2.6105714,0.14722592,-1.260659,0.7616181
7.3000197,-6.246211,0.5221143,0.019394182,-0.819107,0.83991504
5.6522465,-5.8007374,-0.44547364,-0.3635684,-1.3655876,0.9491046
6.480923,-4.5792775,1.6334034,-0.22934507,-0.5080498,1.7640319
9.992022,-7.9945755,-1.4944923,-0.15850498,0.28024593,1.5392611
8.387359,-7.2329593,-5.0199614,-0.9185712,0.65894747,0.9970415
4.358936,-5.7911572,-2.8740237,-1.6988773,0.52791995,1.1547006
5.637876,-9.024434,4.8906302,-1.2727716,-0.88781655,1.2372587
8.464,-9.005274,3.63564,-0.4349411,-0.3221611,1.242585
9.608819,-8.54064,3.3386574,0.3485609,0.28557226,0.5538915
7.4964113,-8.449629,0.1820215,0.6878476,0.120456286,0.15015627
7.199429,-9.388477,0.1101709,0.6761297,0.037898287,0.060674068
6.9886675,-8.885523,0.6466553,0.8167446,0.16839318,-0.02721025
6.5144534,-9.613608,-0.53169435,0.62339914,-0.044127073,0.0761204
6.983877,-9.656719,-0.09580079,0.30168927,-0.029213374,0.14642785
7.6496925,-9.129815,0.43110353,0.11952904,0.06666043,0.09849095
7.3000197,-8.789722,0.5364844,0.04283,0.118325755,0.052151952
6.236631,-8.62207,-0.39278322,-0.20324609,-0.15065353,0.2199311
5.9300685,-7.486831,-0.62749517,-0.27834722,0.026180377,0.40262395
7.8891945,-7.6209526,0.79035646,-0.41576636,-0.046257604,0.46867034
8.751402,-7.563472,1.096919,-0.8040553,-1.1322947,0.10221938
7.213799,-5.1157618,0.26345217,-0.8711669,-1.3863603,-0.3680949
5.5660257,-4.4451566,-0.20118165,-0.31882727,-0.5298877,-0.60032254
5.364844,-4.84752,-2.1746778,-0.4493222,0.18224162,-0.7798196
5.0343313,-6.974297,-1.9016455,-1.4069948,0.098618366,-0.8900745
6.212681,-8.8951025,-0.34488282,-1.5769045,-0.5895425,-1.1510643
6.8928666,-8.315508,-1.2933106,-1.6280372,-0.7796922,-1.3731719
7.2281694,-8.037686,-1.0346485,-1.8410901,-0.5938035,-1.8253766
8.669971,-8.368198,-2.3902297,-1.1262977,0.31380177,-2.0900948
9.551338,-6.950347,-0.12454102,-0.6847456,-0.11816295,-2.1412275
9.642349,-5.8677983,-1.5232325,-0.42162532,-0.6907426,-2.0416253
9.201666,-4.991221,-2.42855,-0.22774717,-0.33387902,-1.8014082
9.74773,-3.4679885,-2.208208,0.55362433,0.28077856,-0.49858978
8.962164,-3.319497,-1.1400293,0.5781254,0.0027445608,0.052684583
7.774234,-4.061953,-0.60833496,0.5088832,-0.04572497,0.2380406
6.8880763,-4.631968,-0.4742139,0.3688009,-0.13840298,0.33497965
7.0126176,-4.7325587,-0.7185059,0.264405,-0.59060776,0.35788286
7.194639,-4.536167,-1.5184424,0.2825145,-0.839347,0.25188902
7.2760696,-4.4403663,-1.5998731,0.31607032,-0.8425428,0.19915845
7.5874224,-4.4212065,-1.6142433,0.33098403,-0.8441407,0.18371211
8.277188,-4.397256,-1.6573536,0.3171356,-0.82496595,0.15867838
10.997931,-4.526587,-1.1160791,0.16054171,-0.51337606,-0.030406045
11.802657,-4.7804594,-0.732876,0.08277742,-0.29819265,-0.155042
11.376344,-4.5553274,-0.92926764,0.02099208,-0.3040516,-0.021351296
9.77647,-4.038003,-1.7292042,-0.17448395,-0.30458423,0.21034372
8.2197075,-4.905,-1.705254,-0.27887988,-0.25611472,0.42552713
7.8604546,-5.5708156,-1.9208057,-0.23839982,-0.30245373,0.4510935
7.8987746,-6.183941,-1.9782863,-0.2000503,-0.29606214,0.4319187
8.296348,-6.825806,-2.4716604,-0.0045742677,-0.14692509,0.3269902
8.334668,-6.456973,-2.6393116,0.08117952,-0.07022605,0.2364427
8.128696,-5.647456,-2.7015822,0.16959646,-0.051583923,0.10221938
7.688013,-5.1780324,-2.5578809,0.21593547,0.03843092,0.00900874
7.223379,-4.9864306,-2.2944288,0.23404497,0.1156626,-0.05543976
7.185059,-5.1971927,-2.0453467,0.218066,0.14655526,-0.122018784
7.36708,-5.489385,-2.064507,0.1749228,0.10873838,-0.17528202
7.9849954,-5.824688,-2.1219873,0.092364796,-0.046257604,-0.16303147
8.617281,-5.8342676,-2.3135889,0.029514195,-0.16237143,-0.12468195
8.52627,-5.3025737,-2.5387208,-0.021085868,-0.01429967,-0.0660924
8.334668,-5.3792143,-2.5339308,-0.04345642,0.08476993,0.002617153
8.147857,-6.07856,-2.2417383,-0.08553437,0.079443604,0.10701307
8.052056,-6.3803325,-2.2752686,-0.12548178,0.0011466641,0.15494996
7.932305,-6.3994923,-2.4860303,-0.1292102,-0.020158626,0.15814576
7.831714,-6.3707523,-2.562671,-0.08713227,0.011266677,0.16560261
7.932305,-6.2031007,-2.6441016,-0.0365322,0.074649915,0.13204677
7.9227247,-6.06419,-2.7782228,-0.014694281,0.12951103,0.084642515
7.683223,-6.0498195,-2.802173,-0.010965855,0.14762053,0.053217217
7.6017923,-5.9013286,-2.7111623,-0.007237429,0.12844577,0.054815114
7.2760696,-5.872588,-2.6153615,-0.01682481,0.080508865,0.060674068
7.33355,-5.815108,-2.5866213,-0.03386904,-0.005244923,0.09902359
7.6113725,-5.958809,-2.668052,-0.047717478,-0.057975512,0.07239198
7.9562554,-6.11209,-2.7638526,-0.056239594,-0.04146391,0.02338981
8.368198,-6.1743608,-2.7063723,-0.038130097,0.02404985,-0.027742883
8.387359,-5.815108,-2.6345215,0.0012846867,0.08796572,-0.06715767
8.123906,-5.6522465,-2.2608986,-0.033336405,0.15933843,0.07239198
8.262817,-5.6570363,-2.1507277,-0.056772225,0.06293201,0.116600454
7.9610453,-5.5420756,-2.1555176,-0.06849014,0.050681464,0.16027628
7.9897857,-5.455855,-1.9399658,-0.0844691,0.00966878,0.1885058
8.243657,-5.637876,-1.8537452,-0.045054317,0.027245643,0.07239198
8.090376,-5.5803957,-1.9351759,-0.020553235,0.14549,-0.014427078
7.8844047,-5.7767873,-1.8633252,-0.018955339,0.22112377,-0.06822293
7.7359133,-5.7911572,-1.9016455,-0.049848005,0.2083406,-0.07195136
7.893985,-5.8198977,-1.6046631,-0.0993828,0.18490478,-0.035732366
8.056846,-5.8965383,-1.4944923,-0.046652213,0.16146897,-0.025612354
8.119117,-5.872588,-1.5423926,-0.011498487,0.1390984,-0.012829182
7.702383,-5.724097,-1.5471827,0.015133124,0.18330689,-0.013894446
7.668853,-5.589976,-1.4465919,0.010872066,0.110336274,0.0010192564
7.8604546,-5.6522465,-1.2789404,-0.028010087,0.036833026,0.015400327
8.277188,-5.6809864,-1.0202783,-0.06742487,-0.04732287,0.051086687
8.646021,-5.527705,-1.0825489,-0.10311123,-0.15331668,0.08624041
8.51669,-5.2594633,-1.1112891,-0.1473197,-0.24652731,0.13417731
8.157437,-5.125342,-1.6717237,-0.2362693,-0.40205595,0.26840064
7.9562554,-5.149292,-1.9160157,-0.27728197,-0.34879273,0.3275228
8.080796,-5.3169436,-1.9208057,-0.29858726,-0.20231885,0.37066603
8.176597,-5.609136,-1.7244141,-0.29379356,-0.039333384,0.34137124
7.975415,-5.5420756,-1.6238233,-0.29326093,-0.01429967,0.3903734
7.893985,-5.5708156,-1.6765138,-0.27035776,-0.0031143937,0.40315658
7.434141,-5.848638,-1.4513819,-0.20644188,0.003277193,0.41913554
7.391031,-6.586304,-1.1304493,-0.15158077,6.140319E-4,0.36587232
7.553892,-6.744375,-1.0490186,-0.12707968,-0.08194396,0.30834806
7.8700347,-6.6246243,-1.0346485,-0.1190902,-0.12828296,0.23271427
7.965835,-6.567144,-1.0681788,-0.10843755,-0.12189138,0.17359209
7.8652444,-6.3947024,-1.2502003,-0.13773233,-0.05477972,0.11233939
7.9562554,-6.3707523,-1.0873389,-0.18939765,-4.5123254E-4,0.11500255
8.224498,-6.576724,-0.9532178,-0.24905246,0.008603516,0.10434991
8.243657,-6.706055,-0.8430469,-0.3060441,0.0043424573,0.05641301
8.152647,-7.0365677,-0.49337405,-0.36197048,-0.039866015,-0.03892816
7.5299416,-7.486831,-0.75203615,-0.36569893,-0.35571694,0.037238248
8.157437,-7.846084,-1.22146,-0.33693677,-0.62363094,0.13790573
8.751402,-7.7407036,-1.7483643,-0.29219568,-0.54480135,0.08251199
8.583751,-7.453301,-1.6621436,-0.214964,-0.32162848,-0.02667762
8.4304695,-6.9072366,-0.9580079,-0.04345642,0.07678044,-0.16462937
9.057964,-7.189849,-0.34488282,0.045493163,0.088498354,-0.08207137
9.201666,-7.2521195,-0.74724615,0.09556059,-0.112304,-0.016557606
6.9311867,-5.872588,-2.806963,-0.021085868,-0.5575846,0.016465591
5.225933,-5.968389,-4.4451566,-0.24585667,-1.270779,0.20341949
