BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.5471827,4.497847,8.013736,-0.22295348,-0.33494428,0.0761204
-1.7818946,4.282295,8.229287,-0.2847388,-0.6246962,0.03564035
-1.3939015,4.3541455,8.650811,-0.34332836,-0.9900819,0.073989876
-1.2022998,4.157754,8.54064,-0.33001256,-1.1370884,0.012737165
-0.68018556,4.033213,8.449629,-0.34279573,-1.3858277,-0.010698653
-0.5748047,4.133804,8.277188,-0.31456622,-1.4369603,-0.006437595
-0.38320315,4.1002736,8.267608,-0.25544405,-1.3703812,0.034042455
-0.10538086,3.8272414,8.5598,-0.19578923,-1.5509436,0.037238248
0.21555176,3.5637891,8.425679,-0.12281863,-1.8204556,-0.046917643
0.6945557,3.415298,8.008945,0.03324262,-2.0399,-0.24026315
0.39757326,3.0799952,7.7311234,0.15042171,-2.3680015,-0.4133686
0.27303225,2.3327491,7.8508744,0.05188475,-3.5674894,-0.6349436
0.4742139,1.9208057,7.5970025,-0.23839982,-5.127036,-0.9507945
1.3891114,1.7818946,7.199429,-0.6346782,-6.4996295,-1.2655802
1.6860938,2.1076174,6.7970657,-0.9851502,-7.1542344,-1.4413488
2.4141798,2.663262,6.471343,-1.4911507,-7.5340014,-1.2842224
3.8703518,4.311035,5.503755,-2.0482843,-7.8194923,-0.65678155
2.1076174,4.3014555,3.0129347,-2.1612022,-7.4253445,0.3440344
5.3121533,3.7458107,-0.07185059,-1.7974143,-5.215453,1.0897195
7.3622904,2.2177882,3.5925295,-0.76677096,-0.15331668,1.6718866
8.890313,0.48379397,4.2248144,-0.8264258,-0.73921216,1.9983901
10.044712,-0.89573735,4.023633,-1.5524035,-1.0140504,1.8433942
10.504556,-0.488584,3.7601807,-1.9082018,-1.4215139,1.7054424
10.241104,-0.8861573,3.8368216,-2.1398969,-0.8846207,1.5136948
10.672208,-1.0681788,4.2056546,-2.3364382,-0.61351097,1.2809345
9.359736,-0.7951465,4.2008643,-1.8682544,0.1870353,1.2452481
8.243657,-1.1400293,2.2752686,-1.3249695,0.57638943,1.6527117
7.4054008,-3.2811768,2.1603076,-1.8176544,0.46826512,1.9318111
8.305928,-3.8655617,1.3172607,-2.2698593,1.2107545,1.9270173
10.260264,-5.609136,1.4944923,-2.92766,2.1002502,1.5142274
10.676997,-7.5395217,2.682422,-4.012632,1.8589679,0.8974393
10.475816,-6.950347,4.9241605,-4.782285,1.0024953,0.91341823
11.194322,-6.0258694,6.959927,-4.718902,0.30261648,1.0737406
11.256593,-6.327642,7.462881,-4.3982577,-0.36210853,1.2942502
11.893667,-7.175479,7.2760696,-4.134072,-0.7338858,1.3693514
11.893667,-7.175479,7.2760696,-4.134072,-0.7338858,1.3693514
11.893667,-7.175479,7.2760696,-4.134072,-0.7338858,1.3693514
18.537453,-5.1157618,4.7086086,-2.911681,-3.5451188,-1.2235023
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
17.234562,-4.009263,3.779341,-2.8211336,-3.5120957,-1.4631867
9.426797,-2.8357031,-5.7767873,-2.8578851,-1.1599915,-1.8988799
3.5973196,2.3950195,1.585503,-1.359058,-0.42176333,-0.5699625
6.241421,-0.05748047,-2.9506643,-0.7459983,-0.5304203,0.060674068
6.4186525,-0.1341211,-2.787803,-0.6133729,-0.59699935,-0.0027091692
4.8666797,-0.46942386,-0.74724615,-0.094589114,-1.0247029,0.21247424
7.913145,-2.6441016,-3.1997461,0.21060915,-1.3581307,0.18158157
8.52148,-2.0357666,-3.999683,-0.05783749,-1.0326924,-0.09006085
9.081915,-2.1028273,-3.439248,-0.44239795,-0.6167067,-0.12255142
8.598121,-1.0729688,-2.5818312,-0.42162532,-0.4675697,0.13524257
9.101074,-1.6477735,-3.3530276,-0.1041765,-0.37862012,0.38131866
9.0004835,-2.811753,-4.488267,-0.062098548,-0.28008318,0.1986258
8.344249,-2.936294,-3.9901028,-0.2543788,0.036833026,0.14536259
9.532178,-2.0070264,-3.1183155,-0.013629016,0.56307364,0.11127413
10.039923,-3.032095,-5.360054,0.06253739,0.20621008,0.18051632
9.148975,-3.4871485,-4.9624805,0.10514797,0.012331941,0.5538915
10.715318,-2.7255323,-3.3673975,0.5637443,-0.26144105,0.69344115
9.350157,-0.12454102,-16.923208,-0.42109266,-0.98688614,-0.3883349
-3.4823585,-5.4606447,-1.4992822,-0.68154985,-0.14426193,0.100621484
3.391348,-6.2941117,1.6765138,-0.34758943,1.1835903,2.0122385
14.245577,-5.240303,0.75203615,-0.06849014,0.021386689,1.5099664
12.660074,-5.130132,-2.42855,-0.06263118,-0.1421314,1.164288
9.287886,-4.311035,-2.3566992,0.21753336,-0.5400077,1.391722
7.1419487,-5.087022,-4.1002736,0.6793255,-0.9613198,2.0425985
5.0199614,-5.5612354,-5.3169436,0.9829259,-1.7517459,3.0189135
6.935977,-6.1647806,-5.9204884,1.0138186,-0.6928731,3.1712463
8.224498,-8.066426,-5.5516553,0.5115464,0.073584646,2.8367531
7.4772515,-6.6246243,-4.3014555,0.0034152158,0.39635977,2.0026512
7.1563187,-5.350474,-4.775669,0.00448048,0.37984815,1.496118
7.2329593,-3.5973196,-3.9469924,0.029514195,-0.099520825,1.3858631
8.095166,-3.9374123,-3.4679885,0.13976906,-0.3882075,1.4055704
7.783814,-4.90979,-5.0726514,0.27718818,-0.69606894,0.7701402
5.709727,-5.470225,-5.958809,-0.046119582,-0.3482601,0.61940527
6.1887307,-6.4138627,-6.0210795,-0.11216598,0.07038885,0.9059614
6.758745,-6.935977,-4.88584,-0.053043798,0.41393661,0.8276645
6.7539554,-6.5623536,-4.7229786,0.018328918,0.697297,0.6156768
7.6353226,-7.103628,-4.4691067,-0.1473197,0.9785268,-0.095387176
5.7719975,-7.5155716,-1.8489552,-0.14465654,0.75801706,-0.46024024
10.93087,-6.557564,-2.8836036,-0.15371129,-0.012701773,-1.2852876
7.697593,-6.672525,-4.0523734,-0.1340039,-0.13041349,-2.014461
5.2594633,-10.614727,-5.5372853,-0.8067184,-0.01163651,-2.9375126
7.6496925,-5.9540186,-4.248765,-1.1614515,0.10500995,-3.439785
4.9002104,-4.373306,-0.8334668,-0.6794193,-0.39353383,-3.235254
7.6401124,-5.0678616,-4.033213,0.025785768,-0.6987321,-2.252015
3.6548,-2.5195606,-3.7506008,-0.13293864,-0.31736743,-0.7973965
7.8029737,-4.2343946,-4.761299,-0.0013784744,-0.2214936,0.0612067
8.636441,-4.6894484,-5.3025737,0.22339232,-0.23214625,0.5208683
7.553892,-4.512217,-4.550537,0.55788535,-0.40525174,1.3571008
2.6967921,-5.0199614,-2.907554,0.56907064,-0.3685001,2.3776243
0.9484278,-6.437813,-4.7708793,0.19942388,0.41393661,2.8484712
1.9974464,-7.3958206,-4.8331494,0.11580061,1.7923889,2.7126498
8.899893,-6.912027,-4.009263,0.5190032,2.2211578,2.0138364
9.948912,-4.2918754,-5.5803957,0.5003611,1.1526976,0.4447019
8.717872,-2.7542725,-4.148174,0.49982846,1.698113,0.4367124
9.278306,-2.9410841,-3.774551,0.5589506,2.4517875,0.86388344
11.611055,-5.982759,-4.382886,0.3597462,2.5955982,0.8905151
9.867481,-6.423443,0.028740235,0.22818601,2.1657639,0.74510646
6.821016,-4.5840673,-0.33530274,0.066265814,1.1601545,1.659636
8.037686,-7.8987746,-2.7255323,-0.13933022,1.281062,1.8135667
6.6821046,-10.336905,-2.318379,-0.20377873,1.3295314,0.89850456
3.0368848,-9.144185,-2.064507,-0.13027547,0.7878445,0.9091572
1.8920655,-8.775352,-0.6658155,0.37093145,0.032039333,1.3096967
1.8537452,-8.789722,-0.87178713,0.7602856,0.17052372,2.056447
5.345684,-9.163345,-2.6488917,0.84497416,0.40754503,2.4383442
5.738467,-7.448511,-1.7771046,0.8385826,0.00966878,2.5406096
4.967271,-7.079678,-1.7723145,0.8939763,-0.49473396,2.308382
4.282295,-7.8987746,-2.1219873,0.57120115,-0.28807265,2.0457945
4.382886,-9.354947,-2.7399025,-0.1356018,0.80968237,1.7975878
8.085587,-8.703502,-0.85741705,-0.50844437,1.3220747,1.6047748
7.711963,-8.143066,-0.1101709,-0.48181275,1.0136806,1.1200795
6.552774,-9.498648,-1.8250049,-0.5073791,0.7830508,0.52885777
6.840176,-11.606265,-1.0298585,-0.74226993,0.8299224,-0.1997831
6.3084817,-12.521163,-0.9388477,-0.8876785,0.7660065,-1.0328199
7.185059,-9.862691,0.98195803,-0.40138528,1.4781358,-1.9617305
0.5939649,-11.290123,-1.585503,0.08970164,0.19715533,-1.8940862
2.792593,-10.5764065,-0.51732427,0.52166635,-0.01429967,-1.0205693
4.277505,-10.298584,-0.5412744,0.8811931,-0.25238627,-0.57262564
3.8176613,-8.5119,0.79993653,1.1933156,-0.8713049,-0.27381897
4.2439747,-6.4138627,-1.5998731,1.2487094,-1.3932844,0.47825772
4.2296047,-5.6666164,-1.7818946,1.1027682,-1.8769145,0.67320114
3.2093263,-4.90979,-0.852627,1.1741409,-2.3205974,0.76747704
2.189048,-4.9385304,-0.7664063,1.4159559,-2.5938377,0.79623914
3.1901662,-5.949229,-3.9661524,0.6383128,-0.13520719,0.0015518887
2.8500733,-7.2425394,-0.8909473,-0.2000503,0.15454474,-0.20564206
1.949546,-6.864126,-1.1304493,-0.43760428,0.81607395,0.35575232
1.6813037,-6.7970657,-0.7041358,0.07319003,1.8824037,2.056447
1.101709,-7.0126176,-0.852627,0.04283,2.3324778,2.9171808
0.39757326,-5.2019825,-3.032095,0.13444275,4.6227965,3.5861669
0.31135255,-5.7767873,-2.663262,-0.545196,6.137603,3.7486196
0.9436377,-7.941885,0.028740235,-1.9380292,6.710182,2.7802942
1.5567628,-7.668853,1.465752,-2.7183356,4.8763294,1.8982552
-0.68018556,-10.4566555,3.5206788,-1.884766,0.15401211,1.7246171
-2.1603076,-14.365328,-3.032095,-1.8634607,-1.8817083,1.7997183
-4.119434,-38.181404,-4.622388,-0.53773916,-3.120611,3.332101
3.4823585,-23.681953,-3.539839,0.65535706,-0.17036091,2.0330112
-0.047900394,-7.5155716,-1.8824854,0.97440374,1.4818643,-0.7020553
-3.7697608,-5.7480474,0.16765137,0.7682751,1.0344533,-0.40857494
-0.4167334,-9.101074,-0.8334668,0.03217736,-0.0792808,0.3056849
-0.19639161,-10.466236,-0.6179151,-0.34652415,-0.2609084,0.03936878
-0.244292,-10.106983,-0.8143067,-0.09032806,-0.39726225,-0.03413447
-0.86220706,-10.2315235,-1.0394385,0.29955873,-0.27475685,-0.004307066
-1.331631,-10.624307,-1.2502003,0.75389403,-0.07022605,0.13151415
-1.2693604,-10.140513,-1.4992822,0.61434436,0.026180377,0.13257942
-1.2358302,-9.68067,-1.0346485,0.23404497,-0.14905563,0.03297719
-1.2693604,-9.829161,-0.46463382,0.070526876,-0.25238627,0.02338981
-1.1591895,-9.944121,-0.5987549,0.11846378,-0.22202624,0.028183501
-0.9580079,-9.920172,-0.6514453,0.16480277,-0.22841783,0.0058129462
-0.7568262,-9.83874,-0.6658155,0.116333246,-0.28487685,-0.035199735
-0.7759864,-10.092612,-0.21076173,0.044427898,-0.3434664,-0.0857998
-0.5412744,-10.346485,-0.0047900393,0.034307886,-0.38341382,-0.12627985
-0.50774413,-10.408755,0.47900394,0.1749228,-0.406317,-0.1699557
-1.0538087,-10.164463,0.39757326,0.32139665,-0.46011287,-0.19711994
-1.5423926,-9.992022,0.60354495,0.38105145,-0.3285527,-0.15663989
-1.4849122,-9.872271,0.5460645,0.44976103,-0.14692509,-0.09272402
-0.60354495,-9.80521,0.39278322,0.5770601,0.19342689,0.019128753
0.119750984,-9.867481,0.28740236,0.6079528,0.2861049,-0.0011112725
0.2203418,-9.618399,-0.2778223,0.4907737,0.25787538,-0.04851554
-0.086220704,-9.034014,-0.6322852,0.28677556,0.24669012,-0.05863555
-0.50774413,-8.334668,-0.34009278,0.033775255,0.37984815,-0.03200394
-0.3544629,-8.296348,-0.0047900393,-0.13240601,0.43683982,-0.004307066
-0.100590825,-8.52627,0.05748047,-0.24745457,0.38144606,0.0068782107
-0.24908204,-8.310719,0.09580079,-0.30497885,0.30048597,-0.013894446
-0.5412744,-8.425679,-0.014370117,-0.3454589,0.29036596,-0.020286031
-0.7951465,-9.163345,-0.23471193,-0.4711601,0.36173868,-0.012829182
-1.092129,-10.715318,-0.244292,-0.6149708,0.36919552,-0.014959711
-0.90052736,-11.601475,0.06227051,-0.7390741,0.33777022,-0.017090239
-0.7185059,-11.500884,0.56522465,-0.736411,0.24296169,-0.073549256
-0.96758795,-10.015972,1.6813037,-0.5143033,0.23870064,-0.122018784
-0.732876,-9.2256155,1.2549903,-0.30231568,0.28344172,-0.09858297
-0.53169435,-9.062755,-0.46942386,-0.27621672,0.14602263,-0.052243967
-0.67539555,-9.134604,-1.5423926,-0.39073265,0.12631524,-0.037862897
-1.0585986,-9.642349,-1.9208057,-0.47488853,0.28184384,0.037770882
-1.3028907,-9.74294,-1.6238233,-0.482878,0.49063566,0.058010906
-1.4465919,-9.72857,-0.76161623,-0.48713908,0.7676044,0.09050147
-1.1112891,-9.968072,-0.6322852,-0.51909703,0.8059539,0.09902359
-0.6322852,-10.490186,-0.9627979,-0.56809914,0.7457665,0.036705617
0.3305127,-10.758429,-1.9878663,-0.637874,0.43950298,-0.11775773
0.37362307,-10.289004,-2.323169,-0.72202986,-0.01163651,-0.2509158
-0.52690434,-9.929751,-1.8441651,-0.750792,-0.34293377,-0.294059
-1.0490186,-9.632769,-1.465752,-0.6756909,-0.45851496,-0.24985053
-1.2981006,-9.402847,-2.1603076,-0.4232232,-0.4638413,-0.10497455
-0.8669971,-9.388477,-2.5291407,-0.38434106,-0.21084096,-0.04159132
-0.2203418,-9.891431,-1.5567628,-0.3571768,-0.11869559,0.027650869
0.847837,-10.236314,-1.2645704,-0.26503143,-0.2577126,-0.006970227
1.1975098,-10.169253,-1.101709,-0.2629009,-0.4260244,-0.19605467
0.4981641,-10.130933,-1.1304493,-0.15424393,-0.4776897,-0.23440419
-0.1341211,-9.398057,-1.2645704,-0.025879556,-0.442536,-0.19552204
-0.2921924,-9.187295,-1.2070899,0.026318401,-0.37329382,-0.13267145
0.0,-9.3453665,-1.1208692,0.14243223,-0.26144105,0.009541372
0.6179151,-9.441168,-1.5423926,0.15841119,-0.32109585,0.0036824176
0.8334668,-9.68067,-2.208208,0.07265741,-0.41164333,-0.012829182
0.613125,-9.594449,-2.4572902,-0.053043798,-0.38767487,-0.057570286
0.22992188,-9.211246,-1.7004639,-0.23147559,-0.35891274,-0.060766082
0.21555176,-9.656719,-2.2800586,-0.34812206,-0.52243084,-0.029873412
-0.22513184,-9.7621,-3.0704153,-0.46476853,-0.56078035,0.03297719
-0.6322852,-9.848321,-3.2572267,-0.5558486,-0.2380052,0.1075457
-0.0047900393,-9.6615095,-1.2597803,-0.68581086,0.22112377,0.18051632
0.852627,-9.671089,-0.3065625,-0.6831477,-0.0313439,0.1672005
0.9244776,-9.70941,-0.4981641,-0.6485266,-0.41856754,0.13524257
0.7041358,-9.77647,-1.1160791,-0.6096445,-0.571433,0.1240573
0.11496094,-9.79084,-1.465752,-0.6053834,-0.49153817,0.15175417
-0.6945557,-9.766891,-0.3305127,-0.45092008,0.037898287,0.32645753
-0.16286133,-9.489068,0.6179151,-0.2959241,0.07518254,0.40581974
