BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.4465919,4.756509,7.5395217,-0.225084,-0.406317,0.13843836
-1.2885206,4.8283596,7.726333,-0.11110072,-0.4819508,0.11819835
-1.3124708,5.0630717,7.2521195,-0.105774395,-0.5165719,0.15708049
-1.4370118,4.9576907,7.1227884,-0.18194081,-0.49473396,0.20927845
-1.2693604,4.608018,9.297466,0.070526876,0.038963553,0.35095862
-0.5891748,4.3062453,9.168135,0.6787929,0.38304394,0.3818513
-0.19639161,4.5074267,6.356382,0.71341395,0.30155122,0.314207
-0.7711963,4.641548,5.604346,0.097158484,0.08690046,0.19756055
-1.1543995,4.761299,6.576724,-0.11429651,0.12418471,0.16187418
-1.341211,4.5313773,7.3958206,-0.118557565,0.025115114,0.08038146
-1.3939015,4.521797,7.6305327,-0.11216598,-0.2396031,-0.09059349
-1.0106983,4.258345,7.697593,-0.15158077,-0.65505624,-0.3174948
-0.82388675,4.157754,7.6449027,-0.22881244,-1.1269684,-0.5550488
-0.6706055,3.65959,7.683223,-0.30338094,-1.5291057,-0.67169523
-0.89573735,3.4919386,7.1467385,-0.45731166,-1.838565,-0.76756907
-1.1160791,3.6404297,7.937095,-0.5537181,-2.0340412,-0.72655636
-0.5460645,3.2093263,7.817344,-0.7326825,-2.5757282,-0.78088486
-0.014370117,2.792593,7.688013,-0.97609544,-3.1765373,-0.9007271
0.60833496,2.3854396,7.9227247,-1.1401461,-3.5509777,-1.081822
1.3220508,2.2561085,7.817344,-1.2844895,-3.6974516,-1.1936748
1.0490186,2.5770411,7.544312,-1.5396203,-3.6963863,-0.9641104
0.38320315,3.2668068,7.074888,-1.9870313,-3.695321,-0.18540204
1.7818946,3.2811768,7.6209526,-1.9316376,-3.4513755,0.747237
4.176914,1.6813037,6.959927,-1.506597,-2.539509,1.1855934
4.967271,0.4981641,7.094048,-1.4469423,-1.673449,1.1733428
4.521797,0.1820215,7.4772515,-1.5571972,-1.3783708,1.1408522
4.790039,-0.7951465,7.5203614,-1.6030035,-1.1951452,1.0183468
5.0199614,-1.3843213,7.683223,-1.8176544,-1.3927518,0.9650836
5.5229154,-1.101709,8.176597,-2.0445557,-1.5850321,1.036989
5.575606,-0.977168,9.441168,-1.8677218,-1.7879649,1.0822626
5.585186,-1.7292042,7.6017923,-1.5119234,-2.0931633,1.442322
5.134922,-2.179468,5.4750147,-1.4522686,-1.6191205,2.0676322
6.337222,-3.2236965,5.9252787,-1.6221783,-1.3581307,2.7099867
5.6282964,-1.6190332,7.7407036,-2.2719898,-2.4574838,3.5387626
5.6714063,-2.3375392,7.438931,-2.406213,-2.6918418,5.0274696
14.121036,-11.04104,8.061636,-1.483694,-2.5464334,4.9795327
13.043277,-9.206455,4.905,-0.72202986,-1.7416259,3.5803077
11.361973,-8.435259,2.7638526,-1.3702432,-2.1746562,2.7829573
11.697276,-7.8556643,3.1039455,-1.7255089,-1.9594725,2.8612542
13.091177,-7.774234,3.0225148,-1.3015337,-1.8726535,2.8372858
12.779825,-8.310719,0.45505372,-1.0336196,-1.605272,2.4889443
12.16191,-8.775352,-0.06227051,-1.3436116,-1.4252424,2.2524557
12.19544,-8.962164,0.78556645,-1.5859593,-1.1605241,1.9760195
12.061319,-8.3250885,0.63707525,-1.6786373,-1.1189789,1.7650971
12.061319,-8.3250885,0.63707525,-1.6786373,-1.1189789,1.7650971
12.061319,-8.3250885,0.63707525,-1.6786373,-1.1189789,1.7650971
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.0078273,-5.982759,2.3423293,-0.5063138,-1.703809,3.264457
7.793394,-9.125025,0.12933107,-0.9867481,-6.1337113,2.312643
7.2281694,-9.292676,1.7339942,-0.42854953,-7.3859296,1.9765521
3.2189064,-6.183941,5.1971927,0.92753214,-6.8389163,1.7826741
2.6105714,-7.4964113,2.1555176,1.7467206,-3.578142,1.5456527
2.4045997,-10.696157,-0.05269043,0.96162057,-2.1405675,1.1573638
3.7122805,-11.654165,1.6381935,0.09396269,-0.7701048,0.61727476
3.1901662,-12.607384,-1.7771046,-1.0655776,-1.324575,0.03031403
2.208208,-10.796748,-2.672842,-1.2860874,-0.106445044,-0.5342761
1.8872755,-10.049502,-0.086220704,-0.67249507,0.965211,-0.8586492
0.8861573,-10.135723,1.0633887,0.22871864,0.69037277,-0.8277565
-0.1341211,-11.649376,-0.44547364,0.5365801,-0.112304,-0.52415615
2.1124072,-12.775035,-1.719624,0.31180927,-0.36423907,-0.42029285
3.7266505,-10.260264,0.28261232,-0.56277287,-0.82656384,-0.7100448
1.4705421,-9.115445,-2.7638526,-0.8471984,-0.9048608,-0.72655636
-1.3268409,-6.6581545,0.7807764,-0.87489533,0.09009625,-0.4676971
0.5891748,-6.806646,0.40715334,-0.38221052,-0.5623782,-0.22375154
1.8585353,-6.720425,-1.5711329,-0.27728197,-0.27955052,-0.32495168
0.3065625,-5.4271145,-0.96758795,-0.591535,-0.07395448,-0.4660992
0.20118165,-5.977969,-0.30177248,-0.7864784,-0.43348125,-0.58061516
0.48379397,-6.7779055,-0.9580079,-0.64533085,-0.73921216,-0.73561114
1.2837305,-7.194639,-1.2741505,-0.43547374,-0.648132,-0.97050196
1.8489552,-7.817344,-0.23471193,-0.07328383,-0.1618388,-1.0956705
2.44292,-8.425679,-0.7664063,0.020459447,0.2445596,-0.8655734
3.0943654,-8.229287,-2.304009,-0.13613443,0.7356465,-0.6658363
3.7074904,-10.921289,-3.300337,-0.26023775,1.1292617,-0.6557163
4.3397756,-10.150093,-1.1879297,0.57759273,0.3223239,-0.7388069
4.406836,-10.686578,-1.3699512,1.0974419,-0.12561981,-0.9119124
2.6153615,-8.49753,-1.1256592,0.9786648,-0.15917563,-0.9257608
3.2189064,-9.034014,-0.5221143,0.31979877,-0.5682372,-0.67861944
3.3242872,-8.59333,-0.028740235,-0.6458635,-0.2555821,-0.32814747
2.4908204,-8.5119,-0.16286133,-0.51962966,0.25574484,0.100621484
3.2811768,-9.340576,-0.53169435,0.25694814,0.33510706,0.6087526
2.7638526,-9.910591,-0.7089258,1.0452439,-0.18847041,1.0758711
2.8644435,-11.04104,-2.44292,1.605573,0.24083117,2.1730936
1.9351759,-9.436378,-0.5508545,1.4979813,0.7628107,2.3552537
1.585503,-10.289004,-0.46463382,1.476676,0.9588194,2.6167762
4.176914,-12.114009,0.244292,1.1869241,0.8011603,2.6178415
7.247329,-15.845449,-0.45984375,0.9893175,0.8171392,1.7789457
3.1997461,-11.304493,-0.6610254,0.4098136,0.95296043,1.133928
1.3843213,-9.062755,2.4141798,0.16107436,0.7633434,1.0172815
-1.3843213,-8.349038,2.1076174,0.38744304,0.846434,1.190387
-0.019160157,-9.589659,0.3544629,0.54243904,0.9385794,1.3730799
0.12454102,-10.106983,-0.6993457,0.6697381,-0.03826812,0.64550424
-1.465752,-10.360855,-0.6706055,0.39383465,-0.32269374,1.0854585
-1.092129,-10.317744,0.014370117,0.15468277,-0.23001572,1.0620227
-1.695674,-8.2197075,1.1400293,0.14030169,-0.3898054,1.2761408
-2.2704787,-4.1002736,-1.22625,-0.0844691,-0.66304576,1.8162299
1.2454102,-8.971744,0.25866213,-0.07807752,-1.7229838,0.4580177
1.9782863,-10.882969,-0.07664063,-0.35185048,-0.9245682,0.4745293
1.6477735,-11.136841,0.07185059,-0.7007246,0.51620203,0.2875754
1.7818946,-10.571617,0.9244776,-0.66344035,0.6962317,-0.028808147
2.5004005,-11.414663,0.8909473,-0.49299803,0.31060597,-0.50764453
1.9303858,-10.9644,0.7807764,-0.51004225,0.014995103,-0.89806396
0.9915381,-11.03625,1.9399658,-0.48021486,-0.32908532,-1.190479
-2.2848487,-10.169253,1.6717237,-0.44506112,-0.24546206,-1.2751676
-0.4263135,-12.085269,0.23950197,-0.4232232,0.8032908,-0.8522576
2.2561085,-8.59333,2.9602442,0.40555254,1.6251423,-0.7457311
1.9830762,-6.9072366,1.3028907,0.94351107,1.8589679,-0.809647
0.7232959,-7.553892,0.10538086,0.9381848,1.4387211,-0.7750259
-2.184258,-8.746612,-1.0154883,0.51314425,-1.5477479,-0.33294114
-1.9830762,-9.259146,-0.8669971,0.5024916,-1.7272449,-0.04904817
-0.9148975,-9.623189,0.71371585,0.43378204,-1.1626548,0.019661386
-0.33530274,-10.289004,-0.1101709,0.24043655,-0.7019279,0.03031403
0.119750984,-11.979888,0.57959473,-0.08553437,0.20035112,0.07931619
0.18681154,-12.152329,1.5376027,-0.09032806,0.3936966,0.03990141
0.5891748,-11.673326,1.4226416,-0.032803774,0.27172384,-0.0075028595
0.977168,-11.05541,1.0825489,-0.028542718,0.13483736,-0.05064607
1.2693604,-10.782378,0.6706055,-0.037597466,0.21473219,-0.082604006
1.0777588,-10.447076,0.45026368,0.099289015,0.5407031,-0.037330262
1.5280225,-10.092612,0.28261232,0.07319003,0.5540189,0.045760363
1.1831397,-9.584868,0.8334668,0.060406867,0.78251815,0.033509824
1.2741505,-9.254355,1.1783496,0.19196703,0.68557906,0.0063455785
0.9388477,-10.648257,1.1496094,0.19622809,0.3835766,-0.15610726
1.4274317,-9.067544,1.5471827,-0.15797235,-0.0137670385,-0.6173668
1.3028907,-9.340576,0.8861573,-0.04878274,-9.838648E-4,-1.4631867
0.28261232,-7.879615,1.4178516,0.059874233,0.37665236,-2.163598
1.7771046,-8.919053,0.96758795,0.20421757,-0.27528948,-2.6498914
2.189048,-10.197993,0.6706055,0.3565504,-0.66943735,-1.1148453
2.8883936,-11.908037,0.047900394,0.36453986,-1.2414843,-0.61843204
1.3028907,-11.496095,0.7089258,-0.022151131,-0.762648,-0.03413447
1.3939015,-10.480606,2.4620802,-0.31829464,-0.41164333,-0.03892816
1.4034815,-10.700948,1.4705421,-0.3140336,-0.11763032,0.04948879
2.1028273,-9.484278,0.19160157,-0.5649034,0.13004367,0.09316463
2.5770411,-8.684341,1.0633887,-0.72629094,0.228048,-0.015492343
2.8357031,-6.1935205,0.32093263,-0.5180317,0.10607521,-0.61417097
2.1411476,-5.973179,0.23471193,-0.5499897,-0.29286635,-1.0376136
2.5099807,-7.6257424,-0.06227051,-0.61390555,-0.6065867,-1.0637126
2.7494826,-9.364527,0.038320314,-0.66557086,-0.45531917,-0.87942183
2.308799,-9.580078,0.19160157,-0.7049857,-0.48834237,-0.515634
1.6190332,-8.176597,0.12933107,-0.47169274,-0.4542539,0.4399082
1.2070899,-6.1743608,-0.38320315,-0.482878,0.24296169,0.9091572
2.2177882,-7.4772515,-0.10538086,-0.5734255,0.3537492,1.3011745
2.1746778,-8.684341,-1.0729688,-1.4501381,-0.8521302,1.875352
3.6739602,-14.9305525,2.3710694,0.45189154,0.104477316,1.9967922
6.07856,-15.050303,-0.50774413,0.64576966,0.62059796,0.8202076
2.7303224,-10.447076,-1.2022998,0.3586809,-0.07129132,-0.5087098
0.49337405,-8.377779,-0.60354495,0.08597321,-0.15118615,-0.5497225
1.2310401,-13.0384865,-0.33530274,0.027383665,-0.030278638,0.30675015
2.1267774,-8.732242,0.5891748,0.651096,0.07092149,-0.15930305
1.5232325,-9.580078,-1.2310401,0.32991877,-0.18633988,-0.02934078
1.9687061,-10.178833,-1.0202783,-0.07861015,-0.1421314,0.0020845209
1.4944923,-9.292676,-0.23950197,-0.23786719,0.38091344,0.12086151
1.1735597,-10.202784,0.1341211,-0.28633672,0.5939663,0.26520485
2.2800586,-10.020762,-0.6227051,-0.29858726,0.3042144,0.15867838
2.198628,-9.374106,-0.6849756,-0.49512854,-0.27049577,-0.006970227
2.078877,-10.245894,-1.6573536,-0.905788,-0.68008995,-0.08313663
2.4956105,-11.778707,0.5125342,-0.85998166,-0.4473297,-0.45438132
1.3939015,-10.308165,0.36883304,-0.4051137,-0.2625063,-0.30151585
1.9160157,-10.801538,-0.3065625,-0.19898504,-0.17994829,-0.19871783
2.8931837,-10.097403,-0.10538086,0.14935644,-0.19273147,0.07026145
2.907554,-10.063872,-1.3843213,0.20741336,-0.12029348,0.07132671
2.2513185,-10.054293,-0.9053174,-0.09618701,-0.11976085,-0.05064607
1.9255958,-10.221944,-0.45505372,-0.05517433,-0.10324925,-0.09165875
1.705254,-10.346485,-0.3784131,0.115267985,-0.044127073,-0.020286031
1.2741505,-11.361973,0.019160157,0.32459244,0.058670945,0.037770882
0.5891748,-13.153448,0.5460645,0.697435,0.37026078,0.23271427
0.5460645,-13.819263,0.028740235,0.8279299,0.75109285,0.5187378
1.1256592,-11.443404,-1.1879297,0.5403085,0.902893,0.8766666
2.0357666,-5.982759,-0.85741705,0.42472732,0.9609499,0.509683
2.926714,-7.424561,-1.5184424,-0.017890073,-0.38714224,-0.065559775
2.179468,-9.024434,-0.852627,-0.06849014,-0.5501277,-0.19179362
1.4034815,-10.193204,-0.5939649,-0.014694281,-0.575694,-0.23067577
1.0394385,-10.744058,-0.5364844,0.0012846867,-0.52083296,-0.20617469
1.1208692,-10.164463,-0.009580079,0.04229737,-0.25291893,-0.049580805
1.5567628,-9.7812605,-0.17244141,0.0758532,-0.16769776,-0.008568124
2.083667,-9.632769,-0.47900394,0.06413529,-0.13787034,-4.6008085E-5
2.327959,-9.671089,-0.7664063,0.058276337,-0.14266403,-0.053841863
2.3135889,-9.7621,-0.7376661,0.07851636,-0.14266403,-0.07621241
2.1603076,-9.70941,-0.86220706,0.05721107,-0.15438195,-0.09006085
2.0118165,-9.599238,-0.9915381,0.066265814,-0.12934823,-0.087397695
2.1267774,-9.608819,-1.22146,-0.01735744,-0.04732287,-0.065559775
2.4860303,-9.829161,-1.3891114,-0.12228599,0.07411728,-0.057037655
3.0656252,-10.174044,-1.590293,-0.21389873,0.24828802,-0.03679763
3.410508,-10.174044,-1.4609619,-0.32947993,0.36972815,-0.059168186
3.391348,-9.091495,-1.2933106,-0.48234537,0.5199304,-0.10124613
3.1470559,-8.243657,-1.0490186,-0.51004225,0.5646716,-0.09751771
3.051255,-7.793394,-1.2454102,-0.50524855,0.60888004,-0.07301662
3.3147073,-8.008945,-1.954336,-0.57129496,0.6781222,-0.03679763
4.631968,-9.187295,-2.059717,-0.7545205,0.5891726,-0.09805033
3.410508,-10.413546,-1.954336,-0.8003268,0.40594715,-0.1321388
2.8548634,-11.132051,-1.4322218,-0.8690364,0.36919552,-0.09059349
2.44771,-11.429033,-0.91010743,-0.8402742,0.47891775,-0.061831348
1.4609619,-10.475816,-0.4263135,-0.7135078,0.6685348,-0.056505024
1.1639795,-9.901011,-0.5556446,-0.5542507,0.82033503,-0.013894446
1.8489552,-9.68067,-0.97237796,-0.44399586,0.8890446,-0.024547089
2.2369483,-9.651929,-1.6046631,-0.3886021,0.8650761,-0.0511787
2.9027638,-9.80521,-2.1459377,-0.40404844,0.7542886,-0.094321914
3.0752053,-9.68067,-2.5818312,-0.55957705,0.57266104,-0.1534441
2.955454,-9.302257,-2.6201515,-0.6261561,0.6253916,-0.12841038
3.0799952,-9.192085,-2.6536818,-0.70338774,0.68557906,-0.1156272
3.1470559,-9.024434,-2.3854396,-0.704453,0.74629915,-0.109235615
3.2093263,-8.923843,-2.4908204,-0.66557086,0.80222553,-0.043189216
3.420088,-9.096285,-2.7303224,-0.6314824,0.7953013,-0.022949193
3.2428565,-8.990904,-3.0656252,-0.59366554,0.7974318,-0.033069205
3.5637891,-8.746612,-2.6009912,-0.48980224,0.83897716,-0.061831348
