BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.78556645,6.6773148,6.591094,-0.0024437387,0.07145412,0.07558777
-0.6945557,6.4090724,6.5144534,0.015665757,0.006472987,0.08570778
-0.63707525,5.992339,6.447393,-0.010965855,-0.26676735,0.051086687
-0.53169435,5.8007374,5.767207,-0.12015546,-0.46916762,-0.035732366
-0.6610254,6.1456203,5.479805,-0.36569893,-0.4031212,-0.04105869
-0.5508545,5.9252787,5.9540186,-0.5334781,-0.5032561,-0.025612354
-0.43589357,5.4127445,6.236631,-0.59579605,-0.78874695,-0.028275516
-0.31135255,4.5840673,6.557564,-0.52176017,-1.3261728,-0.15663989
0.07185059,4.181704,5.934859,-0.5201623,-2.1331108,-0.38247594
-0.5412744,4.033213,4.88584,-0.642135,-2.6865156,-0.6935332
-0.64186525,3.8511915,5.364844,-0.8546553,-3.1419163,-0.8655734
-0.2921924,3.290757,5.9635987,-1.1390809,-4.1384706,-0.9577188
-0.34488282,2.6201515,5.7001467,-1.4528012,-5.12171,-0.8495944
0.31135255,2.787803,5.326524,-2.0280442,-5.8173275,-0.49432874
3.2284865,2.9794044,4.152964,-2.5617416,-5.4929547,-0.17368412
3.6068995,2.687212,3.046465,-2.8818536,-4.6689725,0.08783831
3.295547,2.3998096,3.9613624,-2.9500306,-3.3698828,0.4415061
1.4226416,2.8500733,6.07856,-2.710346,-2.901699,1.1919849
7.448511,1.3986914,8.018526,-2.4861078,-3.0923815,1.7597709
7.2760696,-0.39757326,4.0763235,-2.488771,-2.965615,1.5792085
10.504556,-1.4322218,1.3028907,-3.054959,-1.2382885,1.3831999
8.971744,-2.816543,6.912027,-3.4246058,-0.0063101873,1.1493744
9.057964,-3.5733693,6.912027,-3.887996,-0.38554436,0.6854517
8.440049,-3.3721876,6.945557,-4.285872,-0.17036091,0.34137124
7.9227247,-3.67875,8.028106,-4.373224,0.35215127,0.17412472
6.5623536,-3.4584084,8.708291,-4.35831,0.37718502,0.31527227
6.552774,-3.4536183,9.690249,-4.5564494,-0.1719588,0.9895847
9.915381,-4.512217,11.194322,-4.4818807,-0.65505624,1.3752104
8.914263,-3.9613624,10.605147,-3.9577708,-0.72270054,1.561099
9.091495,-5.695357,8.473579,-4.648062,-2.2838457,2.777631
11.309282,-5.733677,11.5823145,-2.7913063,-0.49153817,2.6540604
10.605147,-7.424561,9.144185,-1.1907462,0.2861049,1.802914
8.938213,-7.7407036,4.023633,-1.4639865,0.2067427,1.387461
8.871153,-9.326206,2.955454,-2.4243226,0.8496298,1.4284736
14.0300255,-10.265054,3.784131,-2.8498957,0.85868454,0.9155488
15.136524,-8.018526,8.305928,-3.1902478,-1.756007,0.37386182
11.376344,-5.5708156,12.578643,-2.3066108,-5.9723234,0.7349865
10.859019,-6.3132715,9.426797,-1.7265742,-5.734237,0.8212729
10.859019,-6.3132715,9.426797,-1.7265742,-5.734237,0.8212729
10.859019,-6.3132715,9.426797,-1.7265742,-5.734237,0.8212729
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.866363,-9.278306,1.0394385,-0.19472398,-2.31101,-0.036265
8.56459,-6.4138627,-0.5029541,-0.6831477,0.5273873,-0.16942306
5.2115626,-5.5324955,0.8334668,-0.89300483,-0.13627245,-0.50285083
6.5144534,-5.4989653,-0.8813672,-0.62242764,-0.3402706,-0.1715536
3.1087356,-3.7074904,-0.86220706,-0.61763394,-0.23480941,-0.47781712
4.4259963,-4.397256,-1.3268409,-0.67196244,0.49489674,-0.38194332
8.50711,-5.455855,-0.11496094,-0.7790215,0.027245643,-1.1936748
5.8677983,-5.508545,-0.8382569,-0.8200342,-0.13041349,-2.14176
6.9790874,-6.327642,-1.4897022,-0.75558573,0.120456286,-2.1758487
10.255474,-5.9061184,-0.8047266,-0.57608867,0.34522706,-2.2818425
11.112891,-5.3552637,-1.6094532,-0.5430654,0.2115364,-2.6221945
11.563155,-3.5637891,-0.22513184,-0.5254886,0.13377209,-2.0996823
9.431587,-1.341211,-2.567461,-0.25704193,0.07997624,-0.76756907
10.044712,-3.788921,-2.4572902,0.10781113,-0.63321835,0.27106377
9.196876,-4.646338,-1.4465919,0.17705332,-0.5155066,0.41966817
9.254355,-4.718189,-1.3891114,-0.3470568,-0.40152332,-0.18060835
6.07856,-3.7027004,-2.907554,-0.9739649,-0.5932709,-0.4394676
4.703819,-2.6536818,-3.0752053,-1.31698,-1.0103219,-0.24825263
1.1975098,-3.3290772,-1.5328126,-0.85252476,-1.0928799,0.17625526
4.7086086,-6.2845316,0.1820215,-0.5111075,-0.73708165,1.5456527
8.899893,-5.6570363,-0.76161623,-0.18247344,-1.3719791,2.0111732
7.549102,-6.1408305,-1.7531544,0.5190032,-0.96398294,2.117167
10.346485,-7.683223,-3.4871485,0.69636977,-0.7088521,2.044729
10.830278,-8.473579,-3.8080812,0.5818538,-0.7248311,1.8055773
10.619517,-7.817344,-3.5637891,0.59410435,-0.3977949,0.9453762
7.189849,-6.701265,-2.42855,1.009025,0.04056145,1.0407174
5.024751,-6.792276,-1.7962648,1.3967812,0.34522706,1.8082404
4.282295,-7.194639,-3.0416749,1.414358,0.8799898,2.5113149
2.806963,-6.2605815,-0.45984375,0.46414208,1.3332599,3.6878996
3.1326857,-5.7001467,-1.9734962,0.12432273,0.5465621,4.4490314
6.615044,-5.958809,-3.7218604,-0.18566923,0.37132606,4.4282584
9.953702,-7.6209526,-4.622388,-0.43600637,0.8331182,3.6223857
7.683223,-7.2281694,0.09101075,-0.16116814,1.2528324,1.3480462
3.68354,-6.9072366,1.2406201,-0.045054317,1.1351207,1.5057052
4.718189,-8.349038,-0.23471193,0.21220705,1.0467038,1.9211584
6.4905033,-10.241104,-2.4141798,0.5275253,0.8980993,1.6138296
5.2019825,-11.151212,-2.687212,0.124855354,0.39635977,0.93845195
4.9241605,-11.472144,-0.46463382,-0.1371997,0.46240616,0.57785994
4.0859036,-11.692486,-0.7376661,-0.083936475,0.3803808,0.42925557
5.1924024,-12.051739,-2.44292,-0.24266088,0.12578261,-0.13000828
3.0799952,-11.00272,-0.364043,-0.3028483,-0.11017347,-0.35105065
4.263135,-9.426797,-2.1698878,0.11100692,-0.33760744,-0.21416417
4.3014555,-9.005274,-1.4513819,-0.06849014,-0.60818464,-0.2759495
3.1087356,-9.340576,1.8920655,0.4907737,-1.2745075,-0.15291147
2.8644435,-8.851993,0.9627979,1.3467138,-1.5871626,0.18584263
3.2668068,-8.253238,-1.3891114,1.6108993,-1.7714534,0.45375663
2.4812403,-7.079678,-1.336421,1.1395198,-1.6521437,0.5869147
1.8441651,-6.461763,-1.7387843,0.5973002,-1.270779,0.6929085
1.7531544,-6.8593364,-3.4919386,0.0066110087,-0.38021803,0.78292334
1.9255958,-7.29523,-0.48379397,-0.3289473,0.42725244,1.1291343
1.8824854,-7.6257424,0.22992188,-0.033336405,0.24669012,1.530739
2.1746778,-8.143066,-0.9580079,0.16799857,0.258408,1.7102361
1.8776954,-8.914263,-1.5663428,0.106213234,0.44429666,1.6883981
1.2502003,-9.527389,-1.3172607,-0.22881244,1.0866512,1.299044
0.7759864,-9.546548,-1.590293,-0.29379356,1.7540394,0.97094256
0.29698244,-9.589659,-1.8585353,-0.75345516,2.1066418,0.82233816
-0.21076173,-9.283096,-0.5843848,-0.4461264,2.1412628,1.1025027
0.60354495,-9.3453665,-0.60354495,0.09449533,1.3423146,1.4774758
0.62749517,-8.3250885,-0.5939649,0.26387239,0.50501674,1.3017071
0.21076173,-8.943004,-1.8154249,0.22392495,0.6845138,1.4881284
0.67539555,-10.442286,-1.0585986,-0.049848005,1.0040932,1.1855934
0.4263135,-11.304493,-0.96758795,-0.0711533,1.0903796,0.82180554
0.20118165,-12.909156,-0.6227051,0.1339101,0.59876,-0.25570947
-0.8286768,-13.37379,-1.1160791,0.27718818,0.14016367,-0.5135035
-1.2454102,-13.852794,-1.5184424,0.16640067,0.062399372,-0.26369897
-0.89573735,-14.154566,-0.6945557,0.10994166,-0.10697768,0.044162467
0.46463382,-11.00272,-0.8765772,0.16107436,-0.41963282,-0.23333894
-0.20118165,-11.02188,-0.46942386,0.20741336,-0.47982025,-0.27275372
0.15328126,-10.188414,-0.50774413,0.027383665,-0.35252115,-0.19339152
0.3305127,-9.7142,-0.2682422,0.012469963,-0.12455454,-0.110300876
0.45026368,-9.508228,-1.0106983,-0.020020602,0.27491963,0.028716132
0.5987549,-8.56938,-1.0059083,-0.20218083,0.55455154,0.13470994
0.5843848,-8.167017,-0.488584,-0.13933022,0.8512277,0.32965332
0.96758795,-7.5395217,0.21076173,0.27878606,0.733516,0.60822
1.2741505,-8.181387,-1.1543995,0.29476506,-0.11709769,0.26786798
0.16286133,-8.353828,-1.6525636,-0.05517433,-0.26996315,0.051086687
-0.41194338,-8.674761,-1.4274317,-0.2565093,0.43737245,0.22632268
-1.1735597,-12.26729,-1.4370118,-0.30497885,1.0797269,0.4761272
0.47900394,-13.2492485,0.43110353,-0.35451365,0.8869141,0.7142138
-0.1580713,-12.755875,-0.5891748,-0.1654292,0.36280394,0.5032914
-1.8872755,-12.842095,-0.18681154,-0.38753685,0.784116,0.51021564
-2.5914114,-12.717554,2.193838,-0.107904926,0.9641457,0.44683242
-1.3172607,-10.590776,0.5029541,0.5317864,0.8980993,0.60076314
-0.043110352,-8.49753,-2.8883936,0.42099887,0.67226326,0.57306623
0.7951465,-6.638994,-3.4009278,-1.0410765,0.49702725,0.17891842
-0.41194338,-9.192085,2.193838,-0.7790215,0.92845935,0.20981108
0.13891114,-11.227852,1.4992822,-0.34812206,0.5103431,0.31047857
0.45505372,-11.151212,0.4406836,0.1834449,-0.7200374,0.16240682
-0.7807764,-11.213482,-0.62749517,0.65695494,-0.4808855,0.03031403
-0.977168,-10.538086,-0.12454102,0.7347193,-0.4244265,-0.15930305
-0.9436377,-9.651929,0.56522465,0.8742689,-0.4313507,-0.2972548
0.3544629,-10.183623,0.019160157,1.1501725,-0.4047191,-0.47675186
0.35925296,-11.093731,0.1580713,1.2923852,-0.3322811,-0.5965941
-0.18681154,-11.247012,0.364043,1.4122275,-0.32802007,-0.644531
-1.465752,-11.184742,0.43110353,1.6306068,-0.10431451,-0.5523856
-2.8979738,-10.399176,0.5221143,1.9736218,0.46080828,-0.30258113
-4.191284,-10.020762,1.2885206,2.0593755,0.9140783,-0.037862897
-4.3541455,-9.651929,1.7723145,2.0071776,1.1798618,0.41593975
-2.6584718,-9.929751,1.8441651,1.9725566,0.975331,0.6471021
0.16765137,-10.811119,1.2789404,1.7488511,0.7494949,0.5522936
1.8585353,-10.844649,1.4082716,1.4250107,0.763876,0.2284532
1.7914747,-10.284214,2.2704787,1.2556336,0.78890973,-0.043189216
1.0585986,-10.025552,2.7255323,1.2039683,0.939112,-0.21203364
-0.038320314,-9.632769,2.806963,1.1608251,1.1537628,-0.30950534
-0.9196875,-8.808882,2.9650342,0.9807953,1.2182113,-0.39845493
-1.3172607,-8.310719,3.0081446,0.7576224,0.9673415,-0.4820782
-1.4226416,-8.281978,3.2093263,0.55362433,0.6994275,-0.51456875
-1.2502003,-8.56938,3.4440382,0.35441986,0.5407031,-0.5364067
-0.9963282,-8.770562,3.8368216,0.27718818,0.52312624,-0.5614404
-0.8143067,-8.660391,3.9565725,0.27239448,0.5540189,-0.5768867
-0.6945557,-8.4304695,4.0044727,0.28997135,0.5801179,-0.5539835
-0.6993457,-7.7790236,3.9901028,0.28357977,0.5646716,-0.5252214
-0.90052736,-7.3766603,4.191284,0.25055656,0.5875747,-0.4671645
-0.9244776,-7.3479204,4.4212065,0.22978391,0.6594801,-0.3915307
-0.8286768,-7.5970025,4.373306,0.21220705,0.733516,-0.3036464
-0.7951465,-7.673643,4.416416,0.20954388,0.8128782,-0.29352638
-0.60833496,-7.453301,5.0487013,0.22072916,0.80914974,-0.31802747
-0.63707525,-7.3958206,5.4989653,0.24895868,0.6930359,-0.3680949
-0.8095166,-7.7646537,5.858218,0.26387239,0.5561494,-0.41549915
-0.98195803,-7.6017923,5.9252787,0.24043655,0.43470928,-0.41603178
-0.8334668,-6.940767,5.8438478,0.06413529,0.3143344,-0.3680949
-0.21555176,-6.13604,6.2605815,-0.2575746,0.21739535,-0.3419959
0.047900394,-6.0210795,6.5048733,-0.5057812,0.16146897,-0.2903306
-0.023950197,-6.0114994,6.346802,-0.68154985,0.2514838,-0.24345894
-1.21188,-7.688013,6.672525,-0.6623751,0.5257894,-0.24026315
-3.9326222,-16.314875,9.699829,-0.32255572,0.36653236,0.01806349
1.5519727,-22.091661,10.001602,1.0148839,-0.07821554,-0.1353346
3.1614258,-10.442286,-5.101392,-0.046652213,-0.085672386,-0.7414701
-0.8813672,-2.2848487,-5.609136,-1.0320218,-0.84041226,-0.97902405
-8.181387,-4.4595265,5.221143,-1.1001987,-0.63055515,-0.10390929
-4.703819,-9.417217,-0.51732427,-0.42588636,-0.6300225,0.86388344
0.6322852,-12.26729,-4.373306,-1.3579926,-1.5291057,0.8958414
2.0166066,-14.475498,-0.5029541,-1.7548037,-1.7448218,0.453224
1.6238233,-13.737833,2.1555176,-1.3324263,-1.2026021,0.30035856
2.1746778,-9.944121,-0.4023633,-1.476237,-1.3714465,0.036705617
-0.081430666,-8.53106,0.7376661,-1.6397551,-1.7634639,0.124589935
-0.8286768,-8.48316,0.56522465,-1.647212,-1.8055418,0.32219648
-1.2885206,-8.631651,0.20597169,-1.7228458,-1.7336365,0.43937558
0.6658155,-9.580078,-0.6945557,-1.8954186,-0.9501345,0.4942367
2.2752686,-10.293795,0.41194338,-1.7755764,-0.5959341,0.46600717
2.9746144,-10.202784,0.6179151,-1.6844963,-0.6747636,0.35255653
1.2310401,-8.698711,0.9148975,-1.6605278,-0.83348805,0.19116895
-0.6610254,-8.234077,0.7711963,-1.6552014,-1.1488062,0.24709535
-1.8729054,-8.382568,0.009580079,-1.6291025,-1.3927518,0.3552197
-2.4525,-8.52148,-0.45505372,-1.5630561,-1.2079284,0.56028306
-0.5748047,-8.54064,-1.6573536,-1.4533339,-0.9730377,0.76960754
0.7664063,-9.148975,-2.1028273,-1.5422834,-0.92563343,0.7509654
0.87178713,-9.79563,-1.9639161,-1.5470772,-0.8702397,0.76481384
0.13891114,-11.917618,0.33530274,-1.4011359,-0.35784748,0.73818225
-0.09101075,-10.164463,2.9458742,-0.9776934,-0.052116558,0.5853168
1.3555812,-10.590776,0.8813672,-0.49140012,-0.017495465,0.41327658
2.5051906,-11.893667,-0.25866213,-0.38647157,-0.031876534,0.24176902
2.663262,-12.410992,-0.76161623,-0.32468623,-0.31949794,0.0612067
0.17723145,-13.565392,0.16765137,-0.35451365,-0.6428057,0.016465591
-0.8095166,-13.51749,1.2693604,-0.28314093,-0.48141816,-0.073549256
-0.5891748,-12.693604,3.530259,0.20741336,-0.31310636,0.020194016
1.1400293,-13.948594,3.8607717,0.6793255,-0.20391674,0.18158157
3.4440382,-12.430152,1.9830762,1.8756175,-0.26996315,-0.69459844
1.0490186,-12.003839,2.7303224,2.377357,0.24882065,-1.0535926
0.45984375,-12.434942,2.4045997,2.6852183,0.5902379,-1.1595864
-2.189048,-13.0241165,-0.17723145,3.2966802,0.81820446,-1.0988663
-4.0906935,-13.833633,-2.3758595,3.2817664,0.8214003,-0.76064485
