BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-1.9160157,6.13604,7.36708,-0.28686935,-0.091531344,0.06600039
-1.7914747,6.0737696,7.424561,-0.24692193,-0.08141133,0.061739333
-1.8345851,5.997129,7.3958206,-0.21017031,-0.08993345,0.047890894
-1.7387843,5.997129,7.151529,-0.24106298,-0.13680509,0.050554056
-1.6381935,6.13604,7.065308,-0.271423,-0.10111872,0.029781397
-1.6094532,5.982759,6.9886675,-0.28846726,-0.035072327,0.079848826
-1.4609619,5.853428,7.1227884,-0.3353389,-0.019625993,0.060141433
-1.5184424,5.8103175,7.453301,-0.37422103,-0.04572497,0.022857178
-1.6238233,5.7001467,7.5299416,-0.35185048,-0.09845556,0.0058129462
-1.9112257,5.728887,7.6161623,-0.3257515,-0.12455454,0.034042455
-1.8968556,5.738467,7.7502837,-0.2746188,-0.1831441,0.088903576
-1.8872755,5.5324955,7.817344,-0.20963767,-0.42016545,0.09849095
-1.7914747,5.513335,7.4916215,-0.29539147,-0.7802248,0.13151415
-1.9830762,5.7145166,8.090376,-0.27887988,-0.9586566,0.16240682
-2.806963,6.207891,9.469908,0.15148698,-1.1381537,0.386645
-3.1949563,5.9156985,9.426797,0.6164749,-1.7528112,0.8026308
-2.6105714,5.269043,6.940767,0.40448728,-3.1504383,1.0764037
-1.6860938,5.0822315,5.575606,-0.3752863,-4.5475326,1.1126227
-1.1208692,5.479805,5.609136,-1.0613166,-5.7768474,1.2313997
-0.6945557,5.3408937,6.5384035,-1.4634539,-6.510282,1.5536422
1.0681788,4.138594,7.223379,-1.6211131,-7.178203,1.7954572
3.0608351,2.6584718,8.090376,-1.5710456,-7.579275,1.8183604
4.406836,1.8441651,7.8652444,-1.1103187,-8.298328,1.4993137
8.248447,1.954336,5.120552,-0.7800868,-8.36331,1.1520375
7.654483,3.1135256,2.4045997,-0.52335805,-7.194182,0.80369604
7.6161623,3.3434474,-1.9782863,-0.7965984,-6.514543,0.63858
8.904683,1.8681153,2.6105714,-1.2498684,-3.3879924,0.99970466
9.192085,1.1496094,-0.5748047,-1.2876853,-1.6622638,1.4471158
10.303374,0.613125,-0.2682422,-1.5614582,-1.2915517,1.4364631
10.322535,-0.39278322,0.5987549,-1.9742482,-1.324575,1.2303344
10.097403,-1.5519727,0.8095166,-2.4738574,-1.4806361,1.1392543
10.389595,-1.9734962,0.35925296,-3.0267296,-2.2641382,1.3139577
12.133169,-1.9351759,1.2741505,-3.2493699,-3.2484426,1.3826673
12.22418,-2.193838,-0.019160157,-2.6656048,-3.24791,1.2532376
12.492422,-3.8224514,-4.655918,-2.940976,-2.8777306,1.1286017
11.304493,-3.899092,-4.0427933,-3.809699,-2.88572,1.0689468
11.405084,-3.4967287,-4.9529004,-4.1031795,-2.0841086,0.9714752
10.849439,-4.129014,-6.2893214,-4.716239,-1.2670506,1.0806648
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
11.553575,-4.1050634,-5.9875493,-5.053928,-1.0571935,1.2345955
8.5502205,7.510782,3.0081446,-1.5971446,-0.079813436,1.1248733
8.334668,7.0988383,5.6187162,-0.39552632,0.76920235,0.99597627
7.4676714,5.8821683,6.476133,0.7624161,0.7590823,0.7701402
4.9002104,4.1625443,4.7325587,1.6508467,0.15933843,1.212225
3.0608351,0.2203418,3.6116896,2.3230286,-0.2987253,2.44154
8.2197075,-2.1650977,-7.065308,1.7557753,-0.7690396,3.075905
11.381133,-3.1183155,-0.6658155,0.83059305,1.2997041,2.7611194
13.186978,-7.079678,-2.198628,1.035124,2.603055,1.9568448
12.837305,-7.31918,-3.9805226,0.50994843,2.4272864,0.9150162
9.77168,-4.272715,-2.8213332,-0.2346714,2.6648405,0.17092893
12.755875,-2.787803,2.5099807,0.23937128,3.14634,-0.40431386
14.269527,-2.3375392,6.8114357,1.142183,2.734615,-1.4317615
8.392149,-0.25387207,6.5144534,1.9981229,1.6208813,-1.2927444
3.4584084,1.4897022,5.4175344,2.523831,0.47891775,0.18424474
9.445957,-2.687212,2.6536818,2.668707,-0.194862,1.1941154
8.167017,-3.2332766,1.6046631,2.5158415,-0.32162848,1.2553681
7.592212,-3.0704153,-0.6610254,2.0295482,-0.05531235,1.3576336
3.63564,-0.1820215,-1.6381935,1.4750781,0.98278785,1.8183604
7.213799,-2.955454,1.9974464,1.6955879,1.667753,2.433018
9.74294,-3.6883302,2.2704787,1.8479207,2.7047877,2.3115778
11.314073,-4.536167,4.497847,2.0886703,3.2933464,2.1278198
13.608501,-6.1408305,4.641548,1.6375309,2.4730928,1.8977226
17.03338,-8.104747,4.9385304,0.69636977,0.61793476,1.0439131
15.682589,-9.359736,5.4031644,-0.028010087,-0.6049888,-0.23973052
8.995694,-5.886958,6.2510014,-0.5249559,-1.4795709,-0.9774262
7.7071733,-4.3014555,5.230723,-0.4796822,-1.2739749,-0.87782395
8.406519,-5.096602,4.742139,-0.04878274,-0.5751614,-1.077561
6.6294146,-4.133804,4.373306,0.30435243,-0.50006026,-0.7153711
7.486831,-3.410508,4.0571632,0.3911715,-0.27635473,-0.29778743
7.6592727,-2.7111623,5.8342676,0.45402208,0.28024593,-0.17261885
8.301138,-2.4141798,5.719307,0.5951696,0.7361791,-0.5449288
7.5203614,-1.4178516,6.6342044,1.1091598,0.67705697,-0.7031205
6.744375,-1.5423926,6.480923,2.3448665,0.6435011,-0.18966308
8.234077,-2.8644435,3.6404297,2.8599217,0.10500995,0.44097346
9.283096,-4.84752,2.0932472,2.2346115,-0.551193,0.52353144
8.8951025,-4.0427933,1.6765138,1.3291368,-1.0358882,0.51074827
8.727451,-4.018843,2.5914114,0.5488306,-0.24066837,0.6609506
9.187295,-4.2296047,2.1363575,0.3698662,0.08476993,0.34509966
5.9252787,-3.7266505,-0.37362307,-0.30231568,0.8517603,-0.41549915
5.8438478,-3.2572267,-0.05269043,-1.421376,2.1002502,0.016465591
6.0114994,-4.148174,3.7314405,-2.2187264,2.2941284,-0.053841863
3.4440382,-3.6260598,-3.9948928,-3.6861284,2.8411417,0.2726617
-1.9687061,-3.2524366,5.9252787,-4.852593,1.0552258,0.747237
6.6916847,-8.818462,4.148174,-3.77348,2.7154405,1.9989227
12.085269,-7.7550735,11.318863,-2.412072,1.7311362,0.9011677
9.905801,-5.5516553,8.435259,-1.5321634,0.1769153,0.5501631
7.7694435,-4.655918,7.711963,-0.6325477,-0.6113804,0.7099528
6.5240335,-4.4403663,4.3349857,-0.27248827,-1.0252355,1.1360586
8.329878,-4.6942387,4.727769,-0.7720973,-0.58847725,1.1712122
8.995694,-3.0416749,4.5936475,-1.5321634,0.9337857,0.5996979
10.499766,-2.5099807,8.919053,-1.2472053,2.2664316,-0.064494506
10.514136,-3.166216,13.632452,0.36294198,2.6328824,-0.6280194
9.627979,-6.6198344,12.319981,1.909706,1.9276775,-0.7505248
8.56938,-6.983877,7.30481,1.698251,0.5193978,-0.5561141
7.702383,-6.0354495,5.374424,1.4393917,-0.60871726,-0.35637698
7.3862405,-6.375542,6.318062,1.3291368,-0.62682676,-0.9236303
5.216353,-7.055728,6.471343,1.6322047,-0.8526628,-1.3848898
5.0822315,-7.3527102,4.751719,1.5102319,-1.215918,-0.93375033
5.388794,-5.733677,5.5803957,1.3749433,-0.8590544,-0.6738258
7.0078273,-5.0774417,5.9396486,1.8367354,-1.0630525,-0.6067141
6.864126,-3.8128712,3.908672,1.5720172,-1.9014156,-0.43414128
6.461763,-3.175796,2.8548634,1.0021007,-2.8500338,0.12299204
3.9517825,-3.6164796,2.3806496,0.27345976,-3.1919837,0.87560135
2.7590625,-4.502637,2.4141798,-0.06849014,-3.2335289,1.2021049
2.2417383,-3.7601807,0.47900394,-0.47169274,-4.301989,1.1850607
1.6573536,-3.0799952,-2.4908204,-0.9686386,-5.505205,1.2042354
4.181704,-1.5998731,-5.4462748,-1.6759741,-6.323328,2.0676322
3.6883302,-1.8058448,-3.5733693,-1.8538733,-4.2268877,3.026903
4.5888577,-7.893985,-9.321417,-3.4879892,2.564173,3.9829779
4.7948294,-7.7359133,-1.0394385,-3.7766757,4.5226617,3.7715228
7.3479204,-11.084151,6.7779055,-4.36843,4.0784464,3.6010804
8.842413,-9.326206,11.749967,-2.840841,3.4712455,2.7802942
8.2197075,-9.68067,8.990904,-1.0213691,2.5125074,2.1991925
8.176597,-9.867481,6.552774,0.15415013,2.0741513,1.9616385
7.4006104,-9.800421,-1.7244141,0.6292581,1.5654875,1.9302132
6.964717,-10.485396,-3.2332766,0.1450954,0.73724437,1.4444526
5.249883,-10.9069195,0.6562354,-0.3039136,0.71647173,1.1104922
3.8847218,-10.245894,1.1064991,-0.36463365,0.6749264,0.9475067
3.779341,-11.194322,1.6286134,-0.49140012,0.645099,0.8857214
4.1098537,-12.037369,2.2177882,-0.40937477,0.78464866,0.7738686
5.1636624,-11.357183,1.9064356,-0.35185048,0.3425639,0.6678748
5.3792143,-9.891431,1.5280225,-0.46050745,-0.20604727,0.32645753
5.7145166,-9.8866415,1.4513819,-0.42908216,-0.49100554,-0.043189216
4.7804594,-10.289004,0.75203615,-0.3870042,-0.597532,-0.24292631
5.110972,-10.336905,-0.39278322,-0.5537181,-0.68754685,-0.2956569
6.964717,-11.371553,0.14370118,-0.47329062,0.55242103,-0.6690321
6.864126,-11.678116,1.4178516,-0.10630702,1.2182113,-0.8432028
5.839058,-10.461446,3.6021094,0.2047502,0.88052243,-0.743068
4.799619,-10.241104,5.848638,0.7240666,-0.7184395,-0.5470593
4.1721244,-9.043594,3.9948928,1.156564,-1.3581307,-0.4096402
3.3386574,-7.0269876,2.5770411,1.363758,-1.8630661,-0.37874752
2.6441016,-6.0737696,0.85741705,1.553375,-2.31101,-0.18220624
2.3902297,-5.848638,0.67539555,1.4489791,-1.8289776,-0.11083351
2.4189699,-6.940767,0.79035646,1.3760085,-1.8726535,0.17412472
2.8261232,-6.8880763,-0.5029541,1.3062336,-1.6798406,0.3339144
3.4727786,-8.262817,-0.32093263,1.1464441,-1.4593309,0.3456323
4.521797,-10.015972,0.22992188,0.63724756,-1.3932844,0.28544486
4.5744877,-10.504556,0.6514453,0.31180927,-1.3283033,0.23431216
4.378096,-10.777588,1.1208692,0.13231221,-1.3187159,0.20661528
3.9948928,-9.196876,-0.8669971,-0.36410102,-1.896622,-0.20670731
4.646338,-9.699829,-3.0225148,-0.29379356,-0.9155134,-0.45491394
4.129014,-9.541759,-1.3843213,-0.20058294,0.22218904,-0.5268193
3.9565725,-9.316627,-2.42855,-0.5404023,0.61101055,-0.2791453
4.033213,-9.043594,-2.5195606,-1.1827567,0.98118997,0.10807834
4.497847,-8.5502205,-1.336421,-2.1494844,1.1207397,0.5698705
5.719307,-8.6077,-1.3699512,-2.6544197,1.4291338,0.64124316
7.1132083,-8.440049,0.29698244,-2.6576154,2.1481872,0.34243652
8.914263,-8.47837,1.1975098,-2.0099347,3.041944,-0.39792228
8.334668,-7.7694435,4.1146436,-1.1662451,2.6994615,-1.1489338
8.684341,-7.702383,2.9937747,-0.34652415,1.7055699,-1.6874249
6.255791,-6.8497562,2.567461,0.20048913,0.41074082,-1.7795703
5.144502,-5.8821683,0.6179151,0.36560512,-0.80419326,-0.9193692
5.886958,-5.9252787,0.64186525,0.35122406,-1.6526763,-0.124149315
6.08814,-6.4282327,0.13891114,0.37306198,-1.8556092,0.26200905
6.006709,-6.6246243,-0.5412744,0.41034624,-1.5370952,0.39569974
6.10251,-6.5096636,-0.9580079,0.44017363,-0.8025954,0.3291207
6.332432,-6.662945,-1.4513819,0.3799862,-0.27102843,0.15708049
6.591094,-7.0365677,-1.839375,0.17865121,-0.10111872,0.05747827
6.974297,-7.8556643,-1.9064356,-0.053043798,-0.07022605,0.027118236
7.055728,-8.976534,-1.1064991,-0.13347127,0.08583519,0.102752015
6.926397,-9.604029,-0.93405765,-0.065826975,0.5375073,0.2002237
6.3994923,-9.522598,0.16286133,-0.09831754,0.8821204,0.30302173
6.183941,-9.081915,0.7807764,-0.120688096,0.88052243,0.32965332
6.11688,-8.349038,1.1639795,-0.12015546,0.50288624,0.22525741
5.8198977,-7.807764,0.5939649,-0.13773233,0.16359949,0.13151415
5.9252787,-7.1419487,0.2921924,-0.17395131,0.025647746,0.03936878
6.4042826,-7.117998,-0.16765137,-0.20750715,0.16839318,-0.052776597
6.758745,-7.5155716,-0.46942386,-0.27515143,0.36120602,-0.08899559
6.935977,-7.812554,-0.7185059,-0.36995998,0.6706654,-0.014427078
6.7874856,-7.8604546,-0.6849756,-0.48554116,0.882653,0.06759828
6.5144534,-7.817344,-0.37362307,-0.62296027,1.0472364,0.13098152
6.4330225,-7.8987746,-0.06706055,-0.7236278,1.1857208,0.06653302
6.552774,-8.028106,0.17244141,-0.7619773,1.166546,-0.06396187
6.758745,-8.090376,0.119750984,-0.7683689,1.0136806,-0.18913046
6.8018556,-8.277188,-0.1820215,-0.77156466,0.80914974,-0.3222885
6.806646,-8.296348,-0.1101709,-0.7390741,0.6419032,-0.3915307
6.9934573,-8.229287,-0.3784131,-0.6549182,0.4464272,-0.44372866
6.940767,-7.783814,-0.6514453,-0.52974963,0.26373434,-0.51297086
6.337222,-7.1323686,-0.5987549,-0.41789687,0.09062888,-0.58061516
5.623506,-6.5288234,-0.6993457,-0.24958509,-0.17728513,-0.5832783
5.087022,-6.806646,-0.5508545,-0.00990059,-0.51124555,-0.42668444
5.0534916,-8.023315,-0.87178713,0.21913126,-0.6257615,-0.21309891
5.158872,-9.493857,-1.2693604,0.3964978,-0.4276223,-0.006437595
5.0630717,-10.4566555,-1.4513819,0.38744304,-0.038800754,0.1869079
4.981641,-10.523716,-1.5280225,0.15574802,0.733516,0.32059857
5.829478,-9.402847,-0.5221143,-0.06050065,1.1601545,0.1506889
5.527705,-7.673643,0.71371585,-0.18886502,0.8086171,-0.304179
5.589976,-7.3622904,1.5328126,-0.09725228,0.0810415,-0.32761484
6.342012,-7.5155716,1.2885206,0.13444275,-0.514974,-0.2493179
6.423443,-7.573052,0.34488282,0.32299456,-0.7764964,-0.1156272
6.4042826,-7.673643,-0.26345217,0.34643036,-0.8127154,-0.07461452
6.701265,-7.8748245,-0.92926764,0.30275452,-0.64866465,-0.042123955
6.8737063,-7.9610453,-1.4130616,0.16427015,-0.3386727,-0.08366927
6.935977,-7.702383,-1.3651612,0.06307002,-0.10964084,-0.07621241
6.969507,-7.4054008,-1.2837305,-0.03440167,0.11672786,-0.0511787
6.9168167,-7.151529,-0.9196875,-0.111633345,0.284507,-0.042123955
6.844966,-7.209009,-0.56522465,-0.1654292,0.36493447,0.0015518887
6.734795,-7.4772515,-0.22992188,-0.22348611,0.42458928,0.0068782107
6.7635355,-7.6113725,-0.038320314,-0.26875985,0.45761245,-0.006437595
6.706055,-7.6353226,0.17723145,-0.261303,0.40168607,-0.04105869
6.638994,-7.4101906,0.20118165,-0.22029032,0.28557226,-0.06875557
6.835386,-7.29523,0.09580079,-0.1505155,0.14389211,-0.09112612
6.9886675,-7.472461,-0.17244141,-0.10524176,0.065595165,-0.117225096
6.959927,-7.4772515,-0.4167334,-0.08127331,0.11726049,-0.12468195
6.5144534,-7.165899,-0.5891748,-0.09299122,0.2248522,-0.080473475
