BMI160_accelerometer.x,BMI160_accelerometer.y,BMI160_accelerometer.z,BMI160_gyroscope.x,BMI160_gyroscope.y,BMI160_gyroscope.z
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
-0.21555176,6.9311867,6.198311,-0.07328383,0.038963553,0.12618782
-0.29698244,6.8114357,6.1504107,-0.14039549,-0.19432937,0.1240573
-0.1341211,6.686895,5.2882032,-0.2746188,-0.34240115,0.14003626
-0.09580079,6.7395854,5.513335,-0.47169274,-0.24226627,0.14376469
-0.12454102,6.825806,6.0210795,-0.46583378,-0.19699252,0.18584263
0.27303225,6.5144534,5.997129,-0.46583378,-0.31736743,0.23591006
-0.28261232,6.236631,5.5516553,-0.5569139,-0.39939278,0.23218164
-0.11496094,5.9204884,6.600674,-0.54466337,-0.32056323,0.21780057
0.5412744,6.6916847,6.710845,-0.4764864,-0.20072095,0.19276685
0.5364844,6.5192432,7.6257424,-0.29432622,0.16413213,0.18637526
0.20118165,6.4905033,7.6161623,0.0055457447,0.258408,0.20288686
-0.038320314,6.365962,6.7395854,0.031112092,0.10767311,0.24762797
0.21555176,6.2893214,6.7300053,-0.12175336,-0.0031143937,0.23431216
0.32572266,5.7863674,8.262817,-0.17661448,-0.45478654,0.17305946
0.25866213,5.863008,8.756192,-0.15264603,-1.5983479,0.06813092
0.7376661,5.8438478,7.065308,-0.33001256,-1.7629312,0.116600454
1.6334034,5.4319043,6.6342044,-0.48500854,-1.9951589,-0.063429244
0.60833496,5.719307,6.715635,-0.51962966,-2.2577467,-0.10177876
0.68976563,6.5192432,7.32876,-0.6282866,-2.5235302,0.07718567
1.3699512,6.3947024,8.612491,-0.6037855,-2.967213,0.22738795
1.8872755,5.839058,8.823253,-0.38274315,-3.390123,0.3158049
2.9794044,5.3025737,8.54064,-0.113763876,-3.7810748,0.3823839
4.617598,4.84752,7.5012016,0.056145806,-4.290271,0.19649528
4.7708793,4.88584,7.28565,0.04922159,-4.355785,0.13470994
4.7708793,4.88584,7.28565,0.04922159,-4.355785,0.13470994
6.7779055,5.4750147,6.552774,-0.059968017,-5.085491,0.06919618
6.7779055,5.4750147,6.552774,-0.059968017,-5.085491,0.06919618
7.3718705,6.926397,-2.806963,-0.68581086,0.4815809,-0.11189877
9.053174,4.497847,5.110972,-0.50365067,1.3572284,-0.07408189
8.47837,4.517007,5.087022,-0.5563813,1.1329902,-0.67702156
8.109536,5.6282964,5.4414845,-0.704453,1.0967712,-0.932685
6.8832865,5.609136,7.28565,-0.48500854,1.1857208,-1.0764958
3.9613624,6.6198344,9.944121,-0.051978536,0.40115345,-1.0541252
4.4643164,7.32397,5.4750147,-0.025879556,0.5108757,-0.783548
2.7973828,7.8508744,5.872588,0.025785768,0.61953264,-0.2162947
2.42855,7.9945755,7.6161623,0.23244707,0.47678724,0.44949558
2.4093897,7.6209526,10.111773,1.6433899,1.1756008,0.44576716
4.0763235,6.6102543,8.58854,2.7874837,0.96787417,0.16986367
4.526587,6.13604,8.698711,4.1286516,-0.79034483,-0.60032254
5.0726514,5.767207,8.119117,5.7595716,-1.4449497,-1.067441
4.8427296,6.246211,2.4141798,6.444004,-1.6702533,-1.2767655
0.8334668,8.123906,-2.4525,4.760886,-1.4976804,-0.5108403
2.323169,7.788604,0.05748047,3.4138594,-0.7269616,0.6135463
5.6905665,7.065308,0.2682422,2.99308,-0.4606455,0.062804595
-1.5567628,7.3814507,0.16765137,3.7105355,-0.7376143,-0.40378124
5.8677983,8.54543,0.3305127,4.3635426,-1.4193834,0.2348448
9.613608,6.5000834,-2.1555176,4.5227995,-1.1093915,-1.0796915
1.1208692,9.522598,-8.008945,3.4468825,-0.4574497,-0.012829182
3.7218604,11.203902,-8.56459,1.960306,-0.22895046,0.22792058
7.2185893,8.023315,-3.9948928,1.6625646,0.2461575,-0.15717252
7.1084185,9.374106,-3.1087356,2.006645,-0.011103877,-1.0583862
6.6773148,8.813672,-5.015171,2.1291504,0.15667528,-1.2448075
4.8666797,5.5372853,-0.82388675,2.19786,0.35108602,-1.1990012
2.5099807,7.046148,-2.2321582,2.8183765,0.6008905,-0.95452297
2.4572902,8.133487,-0.14370118,3.583769,0.116195224,-0.5848762
1.4897022,6.0498195,-2.9841945,3.8298452,-1.375175,-0.3222885
3.1039455,4.8283596,-2.9506643,3.4804382,-2.8260653,-0.3750191
5.5420756,6.5192432,-3.3769777,3.7041438,-4.039401,-0.8677039
5.336104,5.3121533,-5.503755,4.2591467,-4.8905478,-1.6778375
4.8283596,4.402046,-3.8799317,4.291105,-5.813599,-2.0107327
-2.4668703,3.3817677,-12.363091,1.869226,-1.9221883,-1.4551972
-2.3806496,3.1231055,-9.7621,0.9578922,-1.0017998,-0.5949962
-0.30177248,3.7170706,-9.613608,0.25055656,-0.71630895,-0.16143358
-0.043110352,3.032095,-7.941885,0.00927417,-1.3980782,0.109676234
0.5748047,2.1124072,-7.1706886,-0.20644188,-3.525944,-0.08473453
-1.8345851,2.2369483,-7.414981,-0.80085945,-5.057794,-0.20031573
0.43110353,1.0346485,-6.1073003,-1.3585253,-5.9318438,0.09742569
-2.9650342,2.304009,-4.6894484,-1.6567994,-5.970193,0.5725336
-4.512217,3.1853762,-3.68354,-2.2464235,-6.0420985,1.8093057
-2.4093897,5.364844,-4.478687,-2.842439,-6.425061,2.5113149
-2.44771,7.223379,-2.7830129,-3.149235,-6.9694114,2.9901514
-2.6105714,8.425679,-1.456172,-3.1178098,-6.9688783,3.4503455
-4.119434,11.5823145,-1.8920655,-2.3518846,-6.414408,3.5675247
-6.0210795,11.357183,-1.9639161,-1.5151192,-5.833307,4.0042834
-7.070098,11.558365,-2.543511,-0.89566797,-4.946474,4.5640798
-5.149292,11.654165,-1.2070899,-0.498857,-4.118231,4.829863
-1.575923,12.281661,-0.5508545,-0.27621672,-3.857774,4.258349
-3.1422658,12.118799,0.36883304,-0.26875985,-3.6127632,3.4295728
-5.863008,11.884088,2.074087,-0.06902277,-2.0478895,3.597352
-4.0811133,11.084151,1.9830762,-0.2463893,-1.1621221,3.9094746
-1.9447559,11.203902,3.2428565,-0.30018514,-0.35571694,3.8594072
0.27303225,11.452984,2.193838,-0.3870042,0.5114083,2.7339551
-0.047900394,11.543995,1.6334034,-0.6181666,0.27758276,2.4388769
2.6057813,11.476934,1.6621436,-0.8764932,-0.40898016,2.115569
2.3758595,12.650494,2.5770411,-0.82056683,-0.8414775,1.3224798
-0.78556645,13.531861,4.038003,0.13976906,-0.5261592,0.55335885
-0.6610254,13.292359,2.5195606,1.0106229,0.53164834,-0.116159834
0.16286133,12.856465,2.2896388,1.244981,0.7676044,-0.4346739
0.7232959,11.836187,1.5232325,1.297179,0.5609431,-0.799527
-0.009580079,11.409874,0.31135255,1.0990398,0.32338914,-1.54681
0.06227051,11.050621,0.19639161,0.8012983,0.1572079,-1.810463
-1.3172607,11.270963,0.6945557,0.707555,-0.10804294,-1.9920906
-0.7185059,11.606265,0.0,0.93285847,-0.015897568,-2.0091348
-0.28740236,11.203902,0.21555176,1.0345913,-0.09206398,-2.4442954
-2.4668703,9.80521,-1.5328126,1.4441855,-0.3402706,-2.495428
-3.3769777,9.833951,-2.9410841,1.2694821,-0.59220564,-2.9998307
-8.612491,9.374106,-3.2524366,0.8316583,-0.08247659,-2.2078066
3.415298,8.047266,2.318379,-0.111633345,0.2397659,-0.27701476
-1.6094532,8.794512,0.43589357,0.5791907,0.42725244,-2.0501475
-4.5601172,9.436378,2.1650977,0.25375235,0.36173868,-0.716969
6.2989016,4.761299,1.5232325,0.21060915,-0.25238627,-0.053841863
-2.208208,8.420889,-3.1614258,0.3437672,-2.293433,-3.2581573
-8.440049,11.476934,-2.8596535,0.99517643,-0.7605174,-3.0190055
-8.440049,10.509346,-2.299219,1.4196844,-0.1634367,-2.5124722
-6.5384035,8.58854,-1.4130616,1.8468554,-0.4276223,-1.7247092
-4.751719,5.1876125,-3.439248,1.3925201,-3.1850593,-0.7569164
-1.8681153,3.1614258,2.9841945,1.1240735,-1.8364345,1.5067706
-0.100590825,5.9540186,-3.6979103,1.9347397,-2.2726605,1.3810693
-2.2608986,6.327642,-5.4223247,1.7019794,-0.9453408,0.91341823
-4.4116263,7.9562554,-2.198628,1.6188889,-0.02122389,0.9752036
-1.465752,7.1563187,-2.2465284,1.1752062,-0.37915277,0.8814603
-3.4823585,6.6533647,-3.0656252,1.0569618,-0.22362414,0.4500282
-4.91937,6.5384035,-2.8740237,0.9120858,0.09169415,0.35468704
-3.151846,7.9706254,-4.382886,0.7352519,-0.33973798,-0.75372064
-4.0571632,7.8604546,-3.3386574,0.5419064,-0.6832858,-2.310072
-6.0737696,7.3622904,-5.364844,1.0260692,-0.19965568,-2.2898319
-7.7502837,6.8497562,-5.910908,1.0005028,0.7319181,-1.5212437
-3.6691701,6.912027,-5.9252787,0.10301744,-0.2593105,0.43724504
-2.7542725,8.013736,-2.5387208,-0.1835387,-0.9730377,1.4247452
-2.3902297,8.713081,-3.2476466,-0.18194081,-1.256398,1.8156972
-1.9639161,9.73815,-2.2704787,-0.0365322,-1.0422798,1.6846697
-1.5998731,8.943004,-2.6776319,0.14669329,-0.44999284,1.510499
0.56522465,8.995694,-3.899092,0.33577773,0.15241422,1.1515049
0.45984375,8.368198,-2.682422,0.25535026,-0.04093128,0.10434991
-0.26345217,8.52627,-4.5936475,-0.10630702,-0.029746005,-0.1699557
0.62749517,8.583751,-4.157754,-0.5601097,-0.21883045,-0.40378124
-3.3099172,7.788604,-3.4057178,-0.97929126,-0.46171075,-0.66157526
-4.6607084,7.8029737,-3.0225148,-0.7997942,-0.8462712,-0.44479394
-5.4319043,8.646021,-4.272715,-0.74653095,-0.43081808,-0.43041286
-7.8748245,9.307046,-3.3290772,-0.80725104,-0.0025817615,-0.47941503
-9.249566,8.167017,-2.3519094,-0.98301965,0.2594733,-0.14225882
-9.1202345,7.2616997,0.7185059,-0.9872807,0.737777,0.3552197
-5.4223247,5.7145166,1.2789404,-0.65385294,0.20567743,0.7669444
-4.517007,6.351592,-1.8729054,-0.22242086,-0.26037577,1.154168
-5.407954,9.273516,-6.5384035,-0.7502594,-1.2904865,1.0833279
-4.071533,9.70941,0.5125342,-0.849329,-0.6774268,0.65029794
-3.6691701,8.928633,1.7914747,-0.082871206,-0.81537855,0.44203874
-3.6068995,8.986114,-0.8047266,0.19889124,-1.0454756,0.3818513
-2.931504,8.440049,-1.2837305,0.18291228,-0.9501345,0.48731247
-2.8596535,8.344249,-3.0799952,0.06573319,-0.56557405,0.26200905
-2.663262,9.374106,-2.4764502,-0.19472398,-0.025484947,-0.05064607
-1.1208692,12.5738535,-1.7627344,-0.25011772,-0.025484947,-0.8927376
-4.6032276,10.552457,-1.590293,-0.04345642,0.2930291,-0.93801135
-3.9901028,9.235196,-3.8464015,-0.16969027,1.1931776,0.031379294
-3.7506008,7.8269243,-4.267925,-0.32788202,2.2504525,0.2380406
-2.936294,7.592212,-0.4167334,-0.9483986,2.2935958,0.43884295
-2.2321582,6.5096636,2.4908204,-0.8051205,1.7316688,0.055347744
-4.761299,6.342012,-0.4742139,-0.68527824,1.2741377,0.11500255
-5.216353,5.958809,-2.0070264,-0.80298996,1.712494,0.5229988
-4.4547367,7.151529,-0.3065625,-0.66823405,1.5883907,0.9901173
-3.8080812,7.2616997,1.8202149,0.13284485,0.35108602,1.2638903
-3.6404297,6.485713,-2.1555176,0.74963295,-1.7496154,1.959508
-2.327959,6.7395854,-5.144502,0.30275452,-1.9488199,1.9664322
0.20118165,6.0210795,-6.8114357,-0.8109795,-1.5903584,1.8721563
2.1315675,5.752837,-3.6548,-1.322839,-0.96451557,1.4689537
1.3699512,7.592212,5.9396486,-0.1771471,-1.1818295,0.5735989
0.39278322,7.8029737,-0.79035646,0.62766016,-2.075054,0.48305142
-1.2502003,8.119117,-4.8427296,0.04975422,-2.236974,0.5203357
-1.7675245,8.598121,-0.8813672,-0.3523831,-2.5480313,0.7664118
-3.9613624,9.704619,2.1746778,0.7054245,-3.423146,1.7086382
-4.2056546,10.063872,0.6227051,1.3238106,-2.510747,2.3318179
-3.2428565,9.905801,-1.5519727,1.3120927,-1.302737,2.795208
-2.4668703,9.445957,-1.6621436,1.0079596,-0.4009907,3.2756422
-2.4525,13.201348,-2.7734327,0.39916095,-0.5320182,4.281252
-1.0250684,27.806177,-4.737349,0.041232105,-0.81750906,6.45812
43.00976,16.396305,-7.175479,-1.6477447,-1.7773123,1.1046332
-0.79035646,6.1312504,3.755391,0.7283277,-0.5927383,-0.7638406
1.8633252,7.3000197,-3.5733693,0.3698662,-0.077682905,0.07026145
3.1231055,9.465117,-1.9830762,-0.343861,0.47039565,0.18957105
2.687212,9.901011,-1.2358302,-0.19951767,0.016060365,0.15654786
2.074087,9.259146,-1.7627344,-0.030140614,-0.2230915,0.07132671
2.6488917,9.283096,-1.7675245,-0.086067,-0.14000088,0.02552034
3.046465,9.64714,-1.7483643,-0.12548178,-0.026550213,0.016998224
3.056045,9.292676,-1.1160791,-0.09512175,0.0054077217,0.008476107
3.2572267,9.263936,-1.0154883,-0.037597466,0.03630039,0.0058129462
3.0608351,9.216036,-0.9627979,-0.12281863,0.05227936,0.05747827
2.787803,9.374106,-1.2885206,-0.039727993,0.027245643,0.007410843
2.811753,9.484278,-1.3507911,-0.018422706,0.008603516,0.00900874
2.9985645,9.532178,-1.3603711,-0.035466935,0.0331046,0.0010192564
2.5195606,9.326206,-1.0059083,-0.09032806,0.041626714,-5.786403E-4
2.562671,9.407638,-1.1160791,-0.07754488,-0.022821786,0.013269798
2.5147705,9.354947,-0.96758795,-0.07221856,-0.038800754,0.01859612
2.692002,9.364527,-0.9963282,-0.063696444,-0.043594442,-0.0027091692
2.6536818,9.426797,-0.8813672,-0.056239594,-0.062769204,-0.009633388
2.7973828,9.493857,-0.9388477,-0.07434909,-0.0792808,-0.017090239
2.8883936,9.426797,-1.0059083,-0.083936475,-0.06703026,-0.016024973
2.9602442,9.412427,-0.92926764,-0.107904926,-0.062769204,-0.021351296
2.936294,9.307046,-0.89573735,-0.14252602,-0.051051293,-0.0011112725
2.787803,9.311836,-0.8286768,-0.1521134,-0.023887051,0.00900874
2.6009912,9.436378,-0.90052736,-0.16223341,0.003277193,0.019128753
2.4764502,9.426797,-0.93405765,-0.16489658,0.013397205,0.024455074
2.0213966,9.522598,-0.9484278,-0.15530919,-0.057975512,0.017530857
1.949546,9.398057,-0.9580079,-0.14572181,-0.11336926,0.007410843
1.9734962,9.311836,-0.9915381,-0.13293864,-0.14585982,-0.01016602
2.184258,9.206455,-0.8765772,-0.09192596,-0.23747258,-0.035199735
2.3902297,9.263936,-0.7711963,-0.07221856,-0.29126844,-0.037330262
2.6249416,9.283096,-0.7807764,-0.06263118,-0.32429165,-0.027742883
2.7207422,9.259146,-0.9196875,-0.052511167,-0.3365422,-0.015492343
2.7351124,9.283096,-0.9532178,-0.05570696,-0.35891274,0.010074004
2.8261232,9.239985,-1.1400293,-0.0514459,-0.36956537,0.02338981
3.0081446,9.235196,-1.1687696,-0.049315374,-0.3583801,0.020194016
2.9219239,9.206455,-1.1687696,-0.049848005,-0.35571694,-0.006970227
3.1901662,9.168135,-1.0777588,-0.035466935,-0.32642215,-0.018688135
3.2811768,9.263936,-1.0059083,-0.009367958,-0.28860527,-0.032536574
3.3147073,9.393267,-1.0729688,-0.0045742677,-0.17888303,-0.022416562
3.295547,9.388477,-1.1927198,-0.007770061,-0.15704511,-0.024014458
3.2859669,9.412427,-1.4034815,-0.026412189,-0.05477972,-0.014427078
3.2524366,9.3453665,-1.3986914,-0.053043798,-0.010571244,-0.0016439047
3.1278956,9.378897,-1.4322218,-0.06635961,0.013929837,0.010606636
2.9698243,9.3309965,-1.1352394,-0.07967541,0.02937617,0.022324547
